,Code,Country,Region,Religion,Availability of alcohol,Community and workplace action,"Leadership, awareness and commitment",Marketing of alcoholic beverages,Monitoring and surveillance,Pricing policies,Year
0,KHM,Cambodia,Asia-Pacific Group,Buddhist   ,0,0,1,0,0,0,2016
1,KHM,Cambodia,Asia-Pacific Group,Buddhist   ,0,0,1,0,0,0,2013
2,CHN,China,Asia-Pacific Group,Officially atheist,0,0,1,0,0,0,2012
3,CHN,China,Asia-Pacific Group,Officially atheist,0,0,1,0,0,0,2011
4,JPN,Japan,Asia-Pacific Group,Shintoist and Buddhist   ,0,0,1,0,0,0,2016
5,JPN,Japan,Asia-Pacific Group,Shintoist and Buddhist   ,0,0,1,0,0,0,2015
6,JPN,Japan,Asia-Pacific Group,Shintoist and Buddhist   ,0,0,1,0,0,0,2014
7,JPN,Japan,Asia-Pacific Group,Shintoist and Buddhist   ,0,0,1,0,0,0,2013
8,MYS,Malaysia,Asia-Pacific Group,Islam,0,0,1,0,0,0,2016
9,MYS,Malaysia,Asia-Pacific Group,Islam,0,0,1,0,0,0,2015
10,MYS,Malaysia,Asia-Pacific Group,Islam,0,0,1,0,0,0,2014
11,MYS,Malaysia,Asia-Pacific Group,Islam,0,0,1,0,0,0,2013
12,MYS,Malaysia,Asia-Pacific Group,Islam,0,0,1,0,0,0,2010
13,MHL,Marshall Islands,Asia-Pacific Group,Protestant   ,0,0,1,0,0,0,2016
14,MNG,Mongolia,Asia-Pacific Group,Buddhist,0,0,1,0,0,0,2015
15,PHL,Philippines,Asia-Pacific Group,Roman Catholic   ,0,0,1,0,0,0,2016
16,SGP,Singapore,Asia-Pacific Group,Buddhist   ,0,0,1,0,0,0,2014
17,SLB,Solomon Islands,Asia-Pacific Group,Church of Melanesia   ,0,0,1,0,0,0,2015
18,SLB,Solomon Islands,Asia-Pacific Group,Church of Melanesia   ,0,0,1,0,0,0,2012
19,SLB,Solomon Islands,Asia-Pacific Group,Church of Melanesia   ,0,0,1,0,0,0,2010
20,VUT,Vanuatu,Asia-Pacific Group,Protestant,0,0,1,0,0,0,2016
21,AUS,Australia,Western European and Others Group,Roman Catholic   ,0,0,1,0,0,0,2014
22,AUS,Australia,Western European and Others Group,Roman Catholic   ,0,0,1,0,0,0,2012
23,AUS,Australia,Western European and Others Group,Roman Catholic   ,0,0,1,0,0,0,2010
24,NZL,New Zealand,Western European and Others Group,Anglican   ,0,0,1,0,0,0,2016
25,NZL,New Zealand,Western European and Others Group,Anglican   ,0,0,1,0,0,0,2015
26,NZL,New Zealand,Western European and Others Group,Anglican   ,0,0,1,0,0,0,2014
27,NZL,New Zealand,Western European and Others Group,Anglican   ,0,0,1,0,0,0,2013
28,NZL,New Zealand,Western European and Others Group,Anglican   ,0,0,1,0,0,0,2011
