Afghanistan,Islam Sunni
Albania,Islam
Algeria,Islam Sunni
Andorra,Roman Catholic (predominant)
Angola,"Indigenous 47%, Roman Catholic 38%, Protestant 15% (1998 est.)"
Antigua and Barbuda,Christian (predominantly Anglican and other Protestant; some Roman Catholic)
Argentina,"Roman Catholic 92%, Protestant 2%, Jewish 2%, other 4%"
Armenia,"Armenian Apostolic 95%, other Christian 4%, Yezidi 1%"
Australia,"Roman Catholic 26%, Anglican 21%, other Christian 21%, Buddhist 2%, Islam 2%, other 1%, none 15% (2001)"
Austria,"Roman Catholic 74%, Protestant 5%, Islam 4%, none 12% (2001)"
Azerbaijan,"Islam 93%, Russian Orthodox 3%, Armenian Orthodox 2%, other 2% (1995 est.)"
Bahamas,"Baptist 35%, Anglican 15%, Roman Catholic 14%, Pentecostal 8%, Church of God 5%, Methodist 4%, other Christian 15% (2000)"
Bahrain,"Islam (Shiite and Sunni) 81%, Christian 9%"
Bangladesh,"Islam 83%, Hindu 16%, other 1% (1998)"
Barbados,"Protestant 67% (Anglican 40%, Pentecostal 8%, Methodist 7%, other 12%), Roman Catholic 4%, none 17%, other 12%"
Belarus,"Eastern Orthodox 80%, other (including Roman Catholic, Protestant, Jewish, and Muslim) 20% (1997 est.)"
Belgium,"Roman Catholic 75%, Protestant or other 25%"
Belize,"Roman Catholic 50%, Protestant 27% (Pentecostal 7%, Anglican 5%, Seventh-Day Adventist 5%, Mennonite 4%, Methodist 4%, Jehovah's Witnesses 2%), none 9%, other 14% (2000)"
Benin,"indigenous 50%, Christian 30%, Islam 20%"
Bhutan,"Lamaistic Buddhist 75%, Indian- and Nepalese-influenced Hinduism 25%"
Bolivia,"Roman Catholic 95%, Protestant (Evangelical Methodist) 5%"
Bosnia and Herzegovina,"Islam 40%, Orthodox 31%, Roman Catholic 15%, other 14%"
Botswana,"Christian 72%, Badimo 6%, none 21% (2001)"
Brazil,"Roman Catholic 74%, Protestant 15%, Spiritualist 1%, none 7% (2000)"
Brunei,"Islam (official religion) 67%, Buddhist 13%, Christian 10%, indigenous beliefs and other 10%"
Bulgaria,"Bulgarian Orthodox 83%, Islam 12%, other Christian 1% (2001)"
Burkina Faso,"Islam 50%, indigenous beliefs 40%, Christian (mainly Roman Catholic) 10%"
Burundi,"Roman Catholic 62%, indigenous 23%, Islam 10%, Protestant 5%"
Cambodia,"Theravada Buddhist 95%, others 5%"
Cameroon,"indigenous beliefs 40%, Christian 40%, Islam 20%"
Canada,"Roman Catholic 43%, Protestant 23% (including United Church 10%, Anglican 7%, Baptist 2%, Lutheran 2%), other Christian 4%, Muslim 2%, none 16% (2001)"
Cape Verde,"Roman Catholic (infused with indigenous beliefs), Protestant (mostly Church of the Nazarene)"
Central African Republic,"indigenous beliefs 35%, Protestant and Roman Catholic (both with animist influence) 25% each, Islam 15%"
Chad,"Islam 51%, Christian 35%, animist 7%, other 7%"
Chile,"Roman Catholic 89%, Protestant 11%, small Jewish population"
China,"Officially atheist; Daoist (Taoist), Buddhist, Christian 3%–4%, Muslim 1%–2% (2002 est.)"
Colombia,Roman Catholic 90%
Comoros,"Sunni Muslim 98%, Roman Catholic 2%"
"Congo, Democratic Republic of the ","Roman Catholic 50%, Protestant 20%, Kimbanguist 10%, Islam 10%; other syncretic and indigenous 10%"
"Congo, Republic of","Christian 50%, animist 48%, Islam 2%"
Costa Rica,"Roman Catholic 76%, Evangelical 14%, Jehovah's Witnesses 1%, other Protestant 1%, other 5%, none 3%"
Côte d'Ivoire,"indigenous 25%–40%, Islam 35%–40%, Christian 20%–30% (2001)"
Croatia,"Roman Catholic 88%, Orthodox 4%, Muslim 1%, other Christian less than 1%, none 5% (2001)"
Cuba,predominantly Roman Catholic and Santería (Afro-Cuban syncretic religion)
Cyprus,"Greek Orthodox 78%, Islam 18%, Maronite, Armenian Apostolic, and other 4%"
Czech Republic,"Roman Catholic 27%, Protestant 2%, unaffiliated 59% (2001)"
Denmark,"Evangelical Lutheran 95%, other Protestant and Roman Catholic 3%, Muslim 2%"
Djibouti,"Islam 94%, Christian 6%"
Dominica,"Roman Catholic 77%, Protestant 15% (Methodist 5%, Pentecostal 3%, Seventh-Day Adventist 3%, Baptist 2%, other 2%), none 2%"
Dominican Republic,Roman Catholic 95%
East Timor,"Roman Catholic 90%, Islam 4%, Protestant 3%, Hindu 0.5%, Buddhist, animist (1992 est.)"
Ecuador,Roman Catholic 95%
Egypt,"Islam (mostly Sunni) 90%, Coptic 9%, Christian 1%, other 6%"
El Salvador,Catholics 83%; growing population of evangelical Protestants (1992)
Equatorial Guinea,"nominally Christian and predominantly Roman Catholic, pagan practices"
Eritrea,"Islam, Eritrean Orthodox Christianity, Roman Catholic, Protestant"
