Year,Country,Data Source,"Leadership, awareness and commitment"
2015-2017, Sweden, link,"National Commission for Equality in Health. The end report included two concrete propositions for the alcohol area: i) Alcoholic beverages excise tax rate to be revised yearly and linked to inflation, ii) Sweden to work in EU for a Framework Convention on Alcohol Control."
2017, Austria, link,Plan to harmonize youth protection regulations across all states is included in the government programme (December 2017)
2017, Austria, link,"First “Dialogwoche Alkohol”: universal prevention campaign across Austria, 15–21 May 2017"
2017, Germany, link,The national prevention and awareness raising campaign “Alkohol? Kenn Dein Limit” [“Know your limit”] was relaunched in 2017.
2017, Luxembourg,  ,"First alcohol prevention week in German-speaking countries (Luxembourg, Germany, Austria and Lichtenstein)"
2016, Austria,  ,Adoption of the first written National Strategy on the Prevention of Addiction by the Ministers' Council on 26 January 2016.
2016, Belarus, link,"A Decree of the Council of Ministers dated 09.06.2016 №445 ""On the Interdepartmental Council on the formation of a healthy lifestyle, control of noncommunicable diseases, prevention of alcoholism, drug addiction and consumption of tobacco and tobacco products under the Council of Ministers of the Republic of Belarus."
2016, Belarus, link,"A Decree of the Council of Ministers dated 14.03.2016 №200 on approval of the State program ""Health of the Nation and the demographic security of the Republic of Belarus"" 2016–2020."
2016, France, link,Rapport de la cour des comptes sur les politiques alcool [Report of the Court of Auditors on policies against harmful consumption of alcohol].
2016, Israel,  ,The Alcohol National Strategy Programme was audited by the government auditor office.
2016, Lithuania, link,Launch of an action plan to address alcohol-related problems and the establishment in Parliament of a permanent Commission for the Prevention of Drug and Alcohol Addiction.
2016, Luxembourg,  ,A written national policy is being developed. It is currently being validated by the Government (Council of Government) and the Minister of Health.
2016, Malta,  ,A draft national policy has been published and is currently being circulated for public consultation.
2016, Montenegro,  ,Law on wine.
2016, Portugal,  ,Revision/launch of a new alcohol strategy/action plan.
2016, Russian Federation,  ,"The concept of informing the population of the Russian Federation about the dangers of alcohol abuse (Russian Ministry of Health Order from 30.06.2016 N 448 ""On Approval of the Concept of the Russian Federation to inform people about the dangers of alcohol abuse"") was developed in accordance with the plan of measures on stabilization of the situation and the development of competition in the alcoholic market (the order of the Government of the Russian Federation dated 26 November 2015 № 2413-p), the Concept of implementation of the state policy to reduce the abuse of alcoholic beverages, and prevention of alcoholism among the population of the Russian Federation for the period until 2020 (decree of the Russian Government dated 30 December 2009 . № 2128-p), and the national security Strategy of the Russian Federation (approved by Presidential Decree of December 31, 2015 № 683)."
