Country,Availability of alcohol,Community and workplace action,"Leadership, awareness and commitment",Marketing of alcoholic beverages,Monitoring and surveillance,Pricing policies,Year,Code,Region,Religion
 Afghanistan,0,1,0,0,0,0,2016,,,
 Australia,0,0,0,1,0,0,2011,,,
 Australia,0,0,0,0,1,0,2013,,,
 Austria,0,0,1,0,0,0,2017,,,
 Austria,0,0,1,0,0,0,2017,,,
 Austria,0,0,1,0,0,0,2016,,,
 Azerbaijan,0,0,1,0,0,0,2015,,,
 Bahamas,0,0,1,0,0,0,2016,,,
 Bangladesh,0,0,0,0,1,0,2016,,,
 Bangladesh,0,0,0,0,1,0,2010,,,
 Bangladesh,0,0,1,0,0,0,2016,,,
 Bangladesh,0,0,1,0,0,0,2015,,,
 Bangladesh,0,0,1,0,0,0,2013,,,
 Belarus,1,0,0,0,0,0,2015,,,
 Belarus,0,0,1,0,0,0,2016,,,
 Belarus,0,0,1,0,0,0,2016,,,
 Bhutan,0,0,1,0,0,0,2016,,,
 Bosnia and Herzegovina,1,0,0,0,0,0,2015,,,
 Bosnia and Herzegovina,0,0,0,0,0,1,2015,,,
 Bosnia and Herzegovina,0,1,0,0,0,0,2015,,,
 Brazil,0,0,1,0,0,0,2016,,,
 Bulgaria,1,0,0,0,0,0, ,,,
 Bulgaria,0,0,0,0,1,0, ,,,
 Bulgaria,0,0,0,1,0,0, ,,,
 Cambodia,1,0,0,0,0,0,2011,,,
 Cambodia,0,0,0,0,0,1,2016,,,
 Cambodia,0,0,0,0,0,1,2014,,,
 Cambodia,0,0,0,1,0,0,2016,,,
 Canada,0,0,0,0,1,0,2011,,,
 Canada,1,0,0,0,0,0,2016,,,
 Canada,0,0,1,0,0,0,2016,,,
 Canada,0,0,1,0,0,0,2015,,,
 Canada,0,0,1,0,0,0,2014,,,
 Canada,0,0,1,0,0,0,2010,,,
 Canada,0,0,0,0,1,0,2011,,,
 Canada,0,0,0,1,0,0,2016,,,
 Canada,0,0,0,1,0,0,2010,,,
 Chile,0,0,0,0,0,1,2014,,,
 Chile,0,0,1,0,0,0,2016,,,
 Chile,0,0,1,0,0,0,2010,,,
 Chile,0,0,0,1,0,0,2015,,,
 China,1,0,0,0,0,0,2012,,,
 China,0,0,0,0,1,0,2015,,,
 China,0,0,0,0,1,0,2014,,,
 China,0,0,0,0,1,0,2013,,,
 China,0,0,0,0,1,0,2010,,,
 Colombia,0,0,0,0,0,1,2016,,,
 Colombia,0,0,0,0,0,1,2012,,,
 Colombia,1,0,0,0,0,0,2012,,,
 Colombia,0,0,1,0,0,0,2016,,,
 Colombia,0,0,1,0,0,0,2015,,,
 Colombia,0,0,1,0,0,0,2013,,,
 Colombia,0,0,1,0,0,0,2010,,,
 Costa Rica,0,0,0,0,1,0,2015,,,
 Costa Rica,0,0,0,0,1,0,2010,,,
 Costa Rica,1,0,0,0,0,0,2012,,,
 Costa Rica,0,0,1,0,0,0,2015,,,
 Costa Rica,0,0,1,0,0,0,2014,,,
 Costa Rica,0,0,0,0,1,0,2015,,,
 Costa Rica,0,0,0,0,1,0,2010,,,
 Costa Rica,0,0,0,1,0,0,2016,,,
 Costa Rica,0,0,0,1,0,0,2013,,,
 Costa Rica,0,0,0,1,0,0,2012,,,
 Croatia,0,0,1,0,0,0,2015,,,
 Cuba,0,1,0,0,0,0,2016,,,
 Cuba,0,0,1,0,0,0,2016,,,
 Cuba,0,0,1,0,0,0,2015,,,
 Cuba,0,0,1,0,0,0,2012,,,
 Cuba,0,0,1,0,0,0,2011,,,
 Cuba,0,0,1,0,0,0,2010,,,
 Cyprus,1,0,0,0,0,0,2015,,,
 Cyprus,1,0,0,0,0,0,2014-2015,,,
 Cyprus,0,0,1,0,0,0,2015,,,
 Czechia,0,0,1,0,0,0,2015,,,
 Czechia,0,0,1,0,0,0,2014,,,
 Dominica,0,0,0,0,0,1,2010,,,
 Dominican Republic,0,1,0,0,0,0,2016,,,
 Dominican Republic,0,0,0,0,1,0,2011,,,
 Dominican Republic,0,0,0,0,1,0,2010,,,
 Dominican Republic,1,0,0,0,0,0,2014,,,
 Dominican Republic,0,0,1,0,0,0,2016,,,
 Dominican Republic,0,0,1,0,0,0,2014,,,
 Dominican Republic,0,0,1,0,0,0,2013,,,
 Dominican Republic,0,0,1,0,0,0,2012,,,
 Dominican Republic,0,0,0,0,1,0,2011,,,
 Dominican Republic,0,0,0,0,1,0,2010,,,
 Ecuador,0,0,1,0,0,0,2016,,,
 Egypt,0,0,0,0,1,0,2015,,,
 Egypt,0,0,0,0,1,0,2014,,,
 Egypt,0,0,0,0,0,1,2013,,,
 El Salvador,0,0,0,0,1,0,2016,,,
 El Salvador,0,0,0,0,1,0,2014,,,
 El Salvador,0,0,0,0,1,0,2013,,,
 El Salvador,1,0,0,0,0,0,2016,,,
 El Salvador,0,0,1,0,0,0,2016,,,
 El Salvador,0,0,1,0,0,0,2014,,,
 El Salvador,0,0,1,0,0,0,2013,,,
 El Salvador,0,0,0,0,1,0,2016,,,
 El Salvador,0,0,0,0,1,0,2014,,,
 El Salvador,0,0,0,0,1,0,2013,,,
 El Salvador,0,0,0,1,0,0,2016,,,
 Estonia,0,0,1,0,0,0,2014,,,
 Estonia,0,0,1,0,0,0,2013,,,
 Estonia,0,0,1,0,0,0,2012,,,
 Finland,0,0,1,0,0,0,2015,,,
 Finland,0,0,1,0,0,0,2015,,,
 Finland,0,0,1,0,0,0,2015,,,
 France,0,0,1,0,0,0,2016,,,
 France,0,0,1,0,0,0,2015,,,
 Georgia,0,0,1,0,0,0,2015,,,
 Germany,0,0,1,0,0,0,2017,,,
 Germany,0,0,1,0,0,0,2015,,,
 Germany,0,0,1,0,0,0,2015,,,
 Germany,0,0,1,0,0,0,2015,,,
 Germany,0,1,0,0,0,0,2015,,,
 Greece,0,0,0,0,0,1,2015,,,
 Grenada,0,0,0,0,0,1,2014,,,
 Grenada,0,0,0,0,0,1,2011,,,
 Grenada,0,0,1,0,0,0,2016,,,
 Grenada,0,0,1,0,0,0,2015,,,
 Grenada,0,0,1,0,0,0,2014,,,
 Grenada,0,0,1,0,0,0,2013,,,
 Guatemala,1,0,0,0,0,0,2016,,,
 Honduras,0,0,1,0,0,0,2016,,,
 Honduras,0,0,1,0,0,0,2015,,,
 Hungary,0,0,0,0,1,0,2015,,,
 Hungary,0,0,0,0,0,1,2015,,,
 Hungary,0,0,0,0,0,1,2015,,,
 Hungary,0,1,0,0,0,0,2015,,,
 Iceland,0,0,0,0,1,0,2015,,,
 Iceland,0,0,1,0,0,0,2015,,,
 India,0,0,0,0,1,0,2013,,,
 India,0,0,1,0,0,0,2016,,,
 India,0,0,1,0,0,0,2014,,,
 India,0,0,1,0,0,0,2012,,,
 India,0,0,1,0,0,0,2011,,,
 India,1,0,0,0,0,0,2016,,,
 India,1,0,0,0,0,0,2014,,,
 India,0,0,0,0,0,1,2016,,,
 Iran (Islamic Republic of),0,0,1,0,0,0,2013,,,
