Year,Country,Data Source,Monitoring and surveillance
 , Bulgaria,  ,Public funding for an alcohol research project on alcohol consumption.
2016, Lithuania, link,"The Department of Statistics changed the methodology for calculating alcohol consumption, which decreased the level because of the evaluation of tourist consumption."
2016, Portugal, link,"Publication of “Relatório Anual sobre a Situação do País em Matéria de Álcool, 2015” [“Annual Report on the Situation of the Country Concerning Alcohol, 2015”]."
2016, Russian Federation,  ,"The requirement to be equipped with technical means for recording and transferring information on manufacturing and turnover of ethyl alcohol, alcohol and alcohol-containing products to the Unified State Automated Information System (EGAIS) has been extended to activities in the area of purchase, storage and supply (since 1 January 2016) and retail of alcohol products (since 1 July 2016 for urban areas and since 1 July 2017 for rural areas), as well as alcohol-containing products (paragraph 2 of Article 8 of the Federal Law of 22.11.1995 No. 171-FZ On the State Regulation of the Production and Trading Volume of Ethyl Alcohol and Alcoholic Drinks and on Restricting Consumption (Drinking) of Alcohol Products)."
2016, Slovenia, link,Publication of a report on the recorded alcohol consumption and health consequences of hazardous and harmful drinking in Slovenia.
2016, United Kingdom of Great Britain and Northern Ireland,  ,England: Public Health England is commissioning research to develop methods to assess the physical and psychological health consequences for children living in families with alcohol problems. It will be published in 2016/17.
2016, United Kingdom of Great Britain and Northern Ireland, link,Scotland: Publication of “Monitoring and Evaluating Scotland’s Alcohol Strategy: Final annual report.”
2015, Hungary, link,"National participation in the Joint Action on Reducing Alcohol Related Harm (RARHA).  According to the centrally recorded timeline of the project, the pilot testing of the questionnaire was fulfilled and the full-scale preparation of nationwide testing started."
2015, Iceland,  ,Regular annual monitoring of determinants of health including alcohol consumption.
2015, Italy, link,Publicaiton of “L’uso e l’abuso di alcol in Italia – Anno 2014” [“The use and abuse of alcohol in Italy – 2014”].
2015, Italy, link,Publication of “Osservasalute Report 2014: Rapporto Osservasalute 2014 Stato di salute e qualità dell’assistenza nelle regioni italiane” [“Italian Observatory on Healthcare Report 2014”].
2015, Italy, link,Report of the Ministry of Health to the Parliament according to the law 125/2001.
2015, Italy, link,Update of the National Statistical Program (2014–2016)
