"","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average with 95%CI","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average with 95%CI"
"Country"," 2015-2017"," 2009-2011"
"Afghanistan","0 [0-0]","0 [0-0]"
"Albania","5 [4.9-5.1]","5.7 [5.6-5.9]"
"Algeria","0.6 [0.6-0.6]","0.4 [0.4-0.4]"
"Andorra","10.1 [9.9-10.3]","11 [10.8-11.2]"
"Angola","5 [4.9-5.1]","7.5 [7.3-7.6]"
"Antigua and Barbuda","8.5 [8.3-8.6]","7.9 [7.7-8]"
"Argentina","8.4 [8.3-8.6]","8.2 [8-8.4]"
"Armenia","3.8 [3.7-3.9]","4.1 [4-4.2]"
"Australia","9.7 [9.5-9.8]","10.5 [10.3-10.7]"
"Austria","11.4 [11.2-11.6]","11.8 [11.5-12]"
"Azerbaijan","0.5 [0.5-0.6]","1.9 [1.9-2]"
"Bahamas","8.7 [8.5-8.8]","8.8 [8.6-8.9]"
"Bahrain","2.1 [2.1-2.1]","2 [2-2.1]"
"Bangladesh","0 [0-0]","0 [0-0]"
"Barbados","9.3 [9.1-9.4]","8.5 [8.3-8.7]"
"Belarus","9.6 [9.4-9.7]","14.3 [14-14.6]"
"Belgium","10.4 [10.2-10.6]","10.2 [10-10.4]"
"Belize","6.2 [6.1-6.3]","6.4 [6.2-6.5]"
"Benin","1.6 [1.5-1.6]","1.3 [1.3-1.4]"
"Bhutan","0.2 [0.2-0.2]","0.5 [0.5-0.5]"
"Bolivia (Plurinational State of)","3.6 [3.5-3.6]","3.9 [3.8-3.9]"
"Bosnia and Herzegovina","4.4 [4.3-4.5]","4.6 [4.5-4.7]"
"Botswana","6.2 [6.1-6.3]","5.6 [5.5-5.8]"
"Brazil","6.5 [6.4-6.7]","7.3 [7.2-7.5]"
"Brunei Darussalam","0.6 [0.6-0.7]","0.7 [0.7-0.7]"
"Bulgaria","11.4 [11.2-11.7]","11 [10.7-11.2]"
"Burkina Faso","4.9 [4.8-5]","4.6 [4.5-4.7]"
"Burundi","4.1 [4-4.2]","4.1 [4-4.2]"
"Cabo Verde","4.1 [4-4.2]","4.8 [4.7-4.8]"
"Cambodia","3.5 [3.5-3.6]","2 [1.9-2]"
"Cameroon","6.5 [6.4-6.6]","6.1 [6-6.2]"
"Canada","8.1 [8-8.3]","8.3 [8.2-8.5]"
"Central African Republic","1.7 [1.6-1.7]","1.7 [1.7-1.8]"
"Chad","0.7 [0.7-0.7]","0.6 [0.5-0.6]"
"Chile","7.9 [7.7-8]","7.4 [7.3-7.6]"
"China","5.7 [5.6-5.9]","5.4 [5.3-5.5]"
"Colombia","4.5 [4.4-4.5]","4.3 [4.2-4.3]"
"Comoros","0.1 [0.1-0.2]","0.1 [0.1-0.2]"
"Congo","4.9 [4.8-5]","4 [3.9-4.1]"
"Cook Islands","10 [9.8-10.2]","10 [9.8-10.2]"
"Costa Rica","3.7 [3.6-3.8]","3.8 [3.7-3.8]"
"Côte d'Ivoire","4.8 [4.7-4.9]","4.5 [4.5-4.6]"
"Croatia","9.9 [9.7-10.1]","12.2 [12-12.4]"
"Cuba","4.7 [4.6-4.8]","4.1 [4-4.2]"
"Cyprus","9.6 [9.4-9.7]","10.9 [10.7-11.2]"
"Czechia","12.9 [12.7-13.2]","12.9 [12.6-13.1]"
"Democratic People's Republic of Korea","3.4 [3.3-3.4]","3.3 [3.2-3.4]"
"Democratic Republic of the Congo","1.3 [1.3-1.3]","1.5 [1.5-1.5]"
"Denmark","9.5 [9.3-9.7]","10.2 [10-10.4]"
"Djibouti","0.4 [0.4-0.4]","0.5 [0.5-0.5]"
"Dominica","7.3 [7.1-7.4]","6.8 [6.7-6.9]"
