"","","Excise tax on alcoholic beverages","Excise tax on alcoholic beverages","Excise tax on alcoholic beverages"
"Country","Year"," Beer"," Wine"," Spirits"
"Afghanistan"," 2016","No data","No data","No data"
"Albania"," 2016","Yes","Yes","Yes"
"Algeria"," 2016","Yes","Yes","Yes"
"Andorra"," 2016","Yes","Yes","Yes"
"Angola"," 2016","Yes","Yes","Yes"
"Antigua and Barbuda"," 2016","No","No","No"
"Argentina"," 2016","Yes","No","Yes"
"Armenia"," 2016","Yes","Yes","Yes"
"Australia"," 2016","Yes","Yes","Yes"
"Austria"," 2016","Yes","No","Yes"
"Azerbaijan"," 2016","Yes","Yes","Yes"
"Bahamas"," 2016","Yes","Yes","Yes"
"Bahrain"," 2016","No data","No data","No data"
"Bangladesh"," 2016","Yes","Yes","Yes"
"Barbados"," 2016","Yes","Yes","Yes"
"Belarus"," 2016","Yes","Yes","Yes"
"Belgium"," 2016","Yes","Yes","Yes"
"Belize"," 2016","Yes","Yes","Yes"
"Benin"," 2016","Yes","Yes","Yes"
"Bhutan"," 2016","Yes","Yes","No"
"Bolivia (Plurinational State of)"," 2016","No data","No data","No data"
"Bosnia and Herzegovina"," 2016","Yes","Yes","Yes"
"Botswana"," 2016","Yes","Yes","Yes"
"Brazil"," 2016","Yes","Yes","Yes"
"Brunei Darussalam"," 2016","No data","No data","No data"
"Bulgaria"," 2016","Yes","No","Yes"
"Burkina Faso"," 2016","Yes","Yes","Yes"
"Burundi"," 2016","Yes","Yes","Yes"
"Cabo Verde"," 2016","Yes","Yes","Yes"
"Cambodia"," 2016","Yes","Yes","Yes"
"Cameroon"," 2016","Yes","Yes","Yes"
"Canada"," 2016","Yes","Yes","Yes"
"Central African Republic"," 2016","Yes","Yes","Yes"
"Chad"," 2016","Yes","Yes","Yes"
"Chile"," 2016","Yes","Yes","Yes"
"China"," 2016","Yes","Yes","Yes"
"Colombia"," 2016","Yes","Yes","Yes"
"Comoros"," 2016","Yes","Yes","Yes"
"Congo"," 2016","Yes","Yes","Yes"
"Cook Islands"," 2016","Yes","Yes","Yes"
"Costa Rica"," 2016","Yes","Yes","Yes"
"Côte d'Ivoire"," 2016","Yes","Yes","Yes"
"Croatia"," 2016","Yes","No","Yes"
"Cuba"," 2016","No data","No data","No data"
"Cyprus"," 2016","Yes","No","Yes"
"Czechia"," 2016","Yes","Yes","Yes"
"Democratic People's Republic of Korea"," 2016","No data","No data","No data"
"Democratic Republic of the Congo"," 2016","Yes","Yes","Yes"
"Denmark"," 2016","Yes","No","Yes"
"Djibouti"," 2016","Yes","Yes","Yes"
"Dominica"," 2016","Yes","Yes","Yes"
"Dominican Republic"," 2016","Yes","Yes","Yes"
"Ecuador"," 2016","Yes","Yes","Yes"
"Egypt"," 2016","Yes","Yes","Yes"
"El Salvador"," 2016","Yes","Yes","Yes"
"Equatorial Guinea"," 2016","No","No","No"
"Eritrea"," 2016","Yes","Yes","Yes"
"Estonia"," 2016","Yes","Yes","Yes"
"Eswatini"," 2016","Yes","Yes","Yes"
"Ethiopia"," 2016","Yes","Yes","Yes"
"Fiji"," 2016","No data","No data","No data"
"Finland"," 2016","Yes","Yes","Yes"
"France"," 2016","Yes","Yes","Yes"
"Gabon"," 2016","Yes","Yes","Yes"
