Country,Year,Gross domestic product (GDP) per capita (2011 PPP $)
Afghanistan,2016,1803
Albania,2016,11356
Algeria,2016,13921
Angola,2016,5972
Antiguaandbarbuda,2016,21013
Argentina,2016,18585
Armenia,2016,8190
Australia,2016,44493
Austria,2016,44464
Azerbaijan,2016,16001
Bahamas,2016,27614
Bahrain,2016,43643
Bangladesh,2016,3319
Barbados,2016,16741
Belarus,2016,16773
Belgium,2016,42084
Belize,2016,7919
Benin,2016,2010
Bhutan,2016,8253
Bolivia(plurinationalstateof),2016,6708
Bosniaandherzegovina,2016,11338
Botswana,2016,15727
Brazil,2016,14077
Bruneidarussalam,2016,71789
Bulgaria,2016,17795
Burkinafaso,2016,1642
Burundi,2016,721
Caboverde,2016,6065
Cambodia,2016,3465
Cameroon,2016,3347
Canada,2016,43238
Centralafricanrepublic,2016,643
Chad,2016,1878
Chile,2016,22614
China,2016,14401
Colombia,2016,13135
Comoros,2016,1411
Congo,2016,5251
Congo(democraticrepublicofthe),2016,805
Costarica,2016,15195
Croatia,2016,21800
Cyprus,2016,31442
Czechia,2016,31339
Côted'ivoire,2016,3425
Denmark,2016,45991
Djibouti,2016,..
Dominica,2016,10151
Dominicanrepublic,2016,14120
Ecuador,2016,10424
Egypt,2016,10324
Elsalvador,2016,7164
Equatorialguinea,2016,24240
Eritrea,2016,..
Estonia,2016,28110
Eswatini(kingdomof),2016,7724
Ethiopia,2016,1608
Fiji,2016,8447
Finland,2016,39659
France,2016,38063
Gabon,2016,16757
Gambia,2016,1555
Georgia,2016,9277
Germany,2016,44432
Ghana,2016,3983
Greece,2016,24212
Grenada,2016,13167
Guatemala,2016,7369
Guinea,2016,1894
Guineabissau,2016,1499
Guyana,2016,7266
Haiti,2016,1654
Honduras,2016,4407
"Hongkong,china(sar)",2016,54413
Hungary,2016,25664
Iceland,2016,45631
India,2016,6096
Indonesia,2016,10766
Iran(islamicrepublicof),2016,18498
Iraq,2016,16242
Ireland,2016,63227
Israel,2016,32688
Italy,2016,34655
Jamaica,2016,8180
Japan,2016,38283
Jordan,2016,8390
Kazakhstan,2016,23447
Kenya,2016,2927
Kiribati,2016,1955
Korea(republicof),2016,35020
Kuwait,2016,68862
Kyrgyzstan,2016,3310
Laopeople'sdemocraticrepublic,2016,6073
Latvia,2016,23743
Lebanon,2016,13268
Lesotho,2016,2736
Liberia,2016,754
Libya,2016,14298
Lithuania,2016,28034
Luxembourg,2016,94921
Madagascar,2016,1397
Malawi,2016,1084
Malaysia,2016,25669
Maldives,2016,14232
Mali,2016,1971
Malta,2016,35058
Marshallislands,2016,3730
Mauritania,2016,3572
Mauritius,2016,19567
Mexico,2016,17207
Micronesia(federatedstatesof),2016,3253
Moldova(republicof),2016,4963
Mongolia,2016,11361
Montenegro,2016,15737
Morocco,2016,7286
Mozambique,2016,1127
Myanmar,2016,5305
Namibia,2016,9826
Nauru,2016,12951
Nepal,2016,2298
Netherlands,2016,47270
Newzealand,2016,35777
Nicaragua,2016,5131
Niger,2016,917
Nigeria,2016,5435
Norway,2016,64160
Oman,2016,39884
Pakistan,2016,4857
Palau,2016,13897
"Palestine,stateof",2016,4738
Panama,2016,21473
Papuanewguinea,2016,3818
Paraguay,2016,8871
Peru,2016,12082
Philippines,2016,7233
Poland,2016,26036
Portugal,2016,27124
Qatar,2016,118207
Romania,2016,21671
Russianfederation,2016,24417
Rwanda,2016,1790
Saintkittsandnevis,2016,24464
Saintlucia,2016,12671
Saintvincentandthegrenadines,2016,10583
Samoa,2016,5914
Sanmarino,2016,56500
Saotomeandprincipe,2016,3004
Saudiarabia,2016,50423
Senegal,2016,2379
Serbia,2016,13721
Seychelles,2016,25631
Sierraleone,2016,1364
Singapore,2016,82622
Slovakia,2016,29212
Slovenia,2016,29930
Solomonislands,2016,2179
Southafrica,2016,12287
Southsudan,2016,1570
Spain,2016,33320
Srilanka,2016,11445
Sudan,2016,4386
Suriname,2016,13878
Sweden,2016,46568
Switzerland,2016,57422
Tajikistan,2016,2763
Tanzania(unitedrepublicof),2016,2584
Thailand,2016,15706
Theformeryugoslavrepublicofmacedonia,2016,13121
Timorleste,2016,7297
Togo,2016,1388
Tonga,2016,5327
Trinidadandtobago,2016,29541
Tunisia,2016,10762
Turkey,2016,23756
Turkmenistan,2016,15648
Tuvalu,2016,3492
Uganda,2016,1687
Ukraine,2016,7668
Unitedarabemirates,2016,67706
Unitedkingdom,2016,39309
Unitedstates,2016,53399
Uruguay,2016,20094
Uzbekistan,2016,6039
Vanuatu,2016,2856
Venezuela(bolivarianrepublicof),2016,16745
Vietnam,2016,5838
Yemen,2016,1479
Zambia,2016,3652
Zimbabwe,2016,1880
Andorra,2016,..
Cuba,2016,..
Korea(democraticpeople'srep.of),2016,..
Liechtenstein,2016,..
Monaco,2016,..
Somalia,2016,..
Syrianarabrepublic,2016,..
,2016,
