Country,Year,HDI_2016
Afghanistan,2016,0.494
Albania,2016,0.782
Algeria,2016,0.753
Andorra,2016,0.856
Angola,2016,0.577
Antiguaandbarbuda,2016,0.778
Argentina,2016,0.822
Armenia,2016,0.749
Australia,2016,0.938
Austria,2016,0.906
Azerbaijan,2016,0.757
Bahamas,2016,0.806
Bahrain,2016,0.846
Bangladesh,2016,0.597
Barbados,2016,0.799
Belarus,2016,0.805
Belgium,2016,0.915
Belize,2016,0.709
Benin,2016,0.512
Bhutan,2016,0.609
Bolivia(plurinationalstateof),2016,0.689
Bosniaandherzegovina,2016,0.766
Botswana,2016,0.712
Brazil,2016,0.758
Bruneidarussalam,2016,0.852
Bulgaria,2016,0.81
Burkinafaso,2016,0.42
Burundi,2016,0.418
Caboverde,2016,0.652
Cambodia,2016,0.576
Cameroon,2016,0.553
Canada,2016,0.922
Centralafricanrepublic,2016,0.362
Chad,2016,0.405
Chile,2016,0.842
China,2016,0.748
Colombia,2016,0.747
Comoros,2016,0.502
Congo,2016,0.612
Congo(democraticrepublicofthe),2016,0.452
Costarica,2016,0.791
Croatia,2016,0.828
Cuba,2016,0.774
Cyprus,2016,0.867
Czechia,2016,0.885
Côted'ivoire,2016,0.486
Denmark,2016,0.928
Djibouti,2016,0.474
Dominica,2016,0.718
Dominicanrepublic,2016,0.733
Ecuador,2016,0.749
Egypt,2016,0.694
Elsalvador,2016,0.679
Equatorialguinea,2016,0.593
Eritrea,2016,0.436
Estonia,2016,0.868
Eswatini(kingdomof),2016,0.586
Ethiopia,2016,0.457
Fiji,2016,0.738
Finland,2016,0.918
France,2016,0.899
Gabon,2016,0.698
Gambia,2016,0.457
Georgia,2016,0.776
Germany,2016,0.934
Ghana,2016,0.588
Greece,2016,0.868
Grenada,2016,0.77
Guatemala,2016,0.649
Guinea,2016,0.449
Guineabissau,2016,0.453
Guyana,2016,0.652
Haiti,2016,0.496
Honduras,2016,0.614
"Hongkong,china(sar)",2016,0.93
Hungary,2016,0.835
Iceland,2016,0.933
India,2016,0.636
Indonesia,2016,0.691
Iran(islamicrepublicof),2016,0.796
Iraq,2016,0.672
Ireland,2016,0.934
Israel,2016,0.902
Italy,2016,0.878
Jamaica,2016,0.732
Japan,2016,0.907
Jordan,2016,0.735
Kazakhstan,2016,0.797
Kenya,2016,0.585
Kiribati,2016,0.61
Korea(republicof),2016,0.9
Kuwait,2016,0.804
Kyrgyzstan,2016,0.669
Laopeople'sdemocraticrepublic,2016,0.598
Latvia,2016,0.844
Lebanon,2016,0.753
Lesotho,2016,0.516
Liberia,2016,0.432
Libya,2016,0.693
Liechtenstein,2016,0.915
Lithuania,2016,0.855
Luxembourg,2016,0.904
Madagascar,2016,0.517
Malawi,2016,0.474
Malaysia,2016,0.799
Maldives,2016,0.712
Mali,2016,0.421
Malta,2016,0.875
Marshallislands,2016,..
Mauritania,2016,0.516
Mauritius,2016,0.788
Mexico,2016,0.772
Micronesia(federatedstatesof),2016,0.627
Moldova(republicof),2016,0.697
Mongolia,2016,0.743
Montenegro,2016,0.81
Morocco,2016,0.662
Mozambique,2016,0.435
Myanmar,2016,0.574
Namibia,2016,0.645
Nepal,2016,0.569
Netherlands,2016,0.928
Newzealand,2016,0.915
Nicaragua,2016,0.657
Niger,2016,0.351
Nigeria,2016,0.53
Norway,2016,0.951
Oman,2016,0.822
Pakistan,2016,0.56
Palau,2016,0.798
"Palestine,stateof",2016,0.689
Panama,2016,0.785
Papuanewguinea,2016,0.543
Paraguay,2016,0.702
Peru,2016,0.748
Philippines,2016,0.696
Poland,2016,0.86
Portugal,2016,0.845
Qatar,2016,0.855
Romania,2016,0.807
Russianfederation,2016,0.815
Rwanda,2016,0.52
Saintkittsandnevis,2016,0.774
Saintlucia,2016,0.745
Saintvincentandthegrenadines,2016,0.721
Samoa,2016,0.711
Saotomeandprincipe,2016,0.584
Saudiarabia,2016,0.854
Senegal,2016,0.499
Serbia,2016,0.785
Seychelles,2016,0.793
Sierraleone,2016,0.413
Singapore,2016,0.93
Slovakia,2016,0.853
Slovenia,2016,0.894
Solomonislands,2016,0.543
Southafrica,2016,0.696
Southsudan,2016,0.394
Spain,2016,0.889
Srilanka,2016,0.768
Sudan,2016,0.499
Suriname,2016,0.719
Sweden,2016,0.932
Switzerland,2016,0.943
Syrianarabrepublic,2016,0.536
Tajikistan,2016,0.647
Tanzania(unitedrepublicof),2016,0.533
Thailand,2016,0.748
Theformeryugoslavrepublicofmacedonia,2016,0.756
Timorleste,2016,0.631
Togo,2016,0.5
Tonga,2016,0.724
Trinidadandtobago,2016,0.785
Tunisia,2016,0.732
Turkey,2016,0.787
Turkmenistan,2016,0.705
Uganda,2016,0.508
Ukraine,2016,0.746
Unitedarabemirates,2016,0.862
Unitedkingdom,2016,0.92
Unitedstates,2016,0.922
Uruguay,2016,0.802
Uzbekistan,2016,0.703
Vanuatu,2016,0.6
Venezuela(bolivarianrepublicof),2016,0.766
Vietnam,2016,0.689
Yemen,2016,0.462
Zambia,2016,0.586
Zimbabwe,2016,0.532
Korea(democraticpeople'srep.of),2016,..
Monaco,2016,..
Nauru,2016,..
Sanmarino,2016,..
Somalia,2016,..
Tuvalu,2016,..
