Country,Year,Licence for beer retail sales,Licence for wine retail sales,Licence for spirits retail sales
Afghanistan, 2016,,,
Albania, 2016,1,1,1
Algeria, 2016,1,1,1
Andorra, 2016,1,1,1
Angola, 2016,1,1,1
Antigua and Barbuda, 2016,1,1,1
Argentina, 2016,0,0,0
Armenia, 2016,0,0,0
Australia, 2016,,,
Austria, 2016,0,0,0
Azerbaijan, 2016,1,1,1
Bahamas, 2016,1,1,1
Bahrain, 2016,,,
Bangladesh, 2016,1,1,1
Barbados, 2016,1,1,1
Belarus, 2016,0,1,1
Belgium, 2016,1,1,1
Belize, 2016,1,1,1
Benin, 2016,0,0,0
Bhutan, 2016,1,1,1
Bolivia (Plurinational State of), 2016,,,
Bosnia and Herzegovina, 2016,0,0,0
Botswana, 2016,1,1,1
Brazil, 2016,0,0,0
Brunei Darussalam, 2016,,,
Bulgaria, 2016,1,1,1
Burkina Faso, 2016,1,1,1
Burundi, 2016,1,1,1
Cabo Verde, 2016,1,1,1
Cambodia, 2016,0,0,0
Cameroon, 2016,1,1,1
Canada, 2016,,,
Central African Republic, 2016,1,0,1
Chad, 2016,0,0,0
Chile, 2016,1,1,1
China, 2016,1,1,1
Colombia, 2016,0,0,0
Comoros, 2016,1,1,1
Congo, 2016,0,0,0
Cook Islands, 2016,,,
Costa Rica, 2016,1,1,1
Côte d'Ivoire, 2016,0,0,0
Croatia, 2016,0,0,0
Cuba, 2016,,,
Cyprus, 2016,1,1,1
Czechia, 2016,0,0,0
Democratic People's Republic of Korea, 2016,,,
Democratic Republic of the Congo, 2016,1,0,0
Denmark, 2016,0,0,0
Djibouti, 2016,1,1,1
Dominica, 2016,1,1,1
Dominican Republic, 2016,0,0,0
Ecuador, 2016,1,1,1
Egypt, 2016,1,1,1
El Salvador, 2016,1,1,1
Equatorial Guinea, 2016,0,0,0
Eritrea, 2016,1,1,1
Estonia, 2016,0,0,0
Eswatini, 2016,0,0,0
Ethiopia, 2016,1,1,1
Fiji, 2016,,,
Finland, 2016,1,0,0
France, 2016,1,1,1
Gabon, 2016,0,0,0
Gambia, 2016,1,1,1
Georgia, 2016,0,0,0
Germany, 2016,0,0,0
Ghana, 2016,1,1,1
Greece, 2016,0,0,0
Grenada, 2016,1,1,1
Guatemala, 2016,1,1,1
Guinea, 2016,1,1,1
Guinea-Bissau, 2016,1,1,1
Guyana, 2016,1,1,1
Haiti, 2016,,,
Honduras, 2016,1,1,1
Hungary, 2016,0,0,0
Iceland, 2016,1,1,1
India, 2016,,,
Indonesia, 2016,0,0,0
Iran (Islamic Republic of), 2016,,,
Iraq, 2016,1,1,1
Ireland, 2016,1,1,1
Israel, 2016,1,1,1
Italy, 2016,1,1,1
Jamaica, 2016,1,1,1
Japan, 2016,1,1,1
Jordan, 2016,1,1,1
Kazakhstan, 2016,1,1,1
Kenya, 2016,1,1,1
Kiribati, 2016,1,1,1
Kuwait, 2016,,,
Kyrgyzstan, 2016,,,
Lao People's Democratic Republic, 2016,0,0,0
Latvia, 2016,1,1,1
Lebanon, 2016,1,1,1
Lesotho, 2016,0,0,0
Liberia, 2016,1,1,1
Libya, 2016,,,
Lithuania, 2016,1,1,1
Luxembourg, 2016,1,1,1
Madagascar, 2016,1,1,1
Malawi, 2016,1,1,1
Malaysia, 2016,0,1,1
Maldives, 2016,,,
Mali, 2016,1,1,1
Malta, 2016,1,1,1
Marshall Islands, 2016,1,1,1
Mauritania, 2016,,,
Mauritius, 2016,1,1,1
Mexico, 2016,1,1,1
Micronesia (Federated States of), 2016,,,
Monaco, 2016,,,
Mongolia, 2016,1,1,1
Montenegro, 2016,1,1,1
Morocco, 2016,1,1,1
Mozambique, 2016,1,1,1
Myanmar, 2016,1,1,1
Namibia, 2016,1,1,1
Nauru, 2016,,,
Nepal, 2016,,,
Netherlands, 2016,1,1,1
New Zealand, 2016,1,1,1
Nicaragua, 2016,1,1,1
Niger, 2016,1,1,1
Nigeria, 2016,1,1,1
Niue, 2016,,,
Norway, 2016,1,1,1
Oman, 2016,1,1,1
Pakistan, 2016,1,1,1
Palau, 2016,,,
Panama, 2016,1,1,1
Papua New Guinea, 2016,,,
Paraguay, 2016,1,1,1
Peru, 2016,1,1,1
Philippines, 2016,1,1,1
Poland, 2016,1,1,1
Portugal, 2016,0,0,0
Qatar, 2016,,,
Republic of Korea, 2016,1,1,1
Republic of Moldova, 2016,1,1,1
Romania, 2016,1,1,1
Russian Federation, 2016,0,1,1
Rwanda, 2016,0,0,0
Saint Kitts and Nevis, 2016,1,1,1
Saint Lucia, 2016,1,1,1
Saint Vincent and the Grenadines, 2016,1,1,1
Samoa, 2016,1,1,1
San Marino, 2016,1,1,1
Sao Tome and Principe, 2016,1,1,1
Saudi Arabia, 2016,,,
Senegal, 2016,1,1,1
Serbia, 2016,1,1,1
Seychelles, 2016,1,1,1
Sierra Leone, 2016,1,1,1
Singapore, 2016,1,1,1
Slovakia, 2016,0,0,0
