Country,Year,Restrictions on alcohol use in educational buildings,Restrictions on alcohol use in government offices,Restrictions on alcohol use in healthcare establishments,Restrictions on alcohol use in leisure events,Restrictions on alcohol use in parks and streets,Restrictions on alcohol use in public transport,Restrictions on alcohol use in places of worship,Restrictions on alcohol use in sporting events,Restrictions on alcohol use in workplaces
Afghanistan, 2016,1,1,1,1,1,1,1,1,1
Albania, 2016,1,0.5,1,0.3,0,0.3,1,1,1
Algeria, 2016,1,1,1,1,1,1,1,1,1
Andorra, 2016,0.5,0,0,0.5,0.5,0,0,0,0.5
Angola, 2016,0.5,0.5,0.5,0,0,0,0.5,0,0.5
Antigua and Barbuda, 2016,0.3,0.3,0.3,0,0,0,0.3,0,0.3
Argentina, 2016,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Armenia, 2016,1,0.5,1,0,0,1,0,0,1
Australia, 2016,0.3,0.3,0.3,0.5,0.5,0.5,0.3,0.5,0.3
Austria, 2016,0.3,0.3,0.3,0.5,0.5,0.5,0.3,0.5,0.3
Azerbaijan, 2016,1,1,1,0.5,0.5,1,1,1,0.5
Bahamas, 2016,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Bahrain, 2016,,,,,,,,,
Bangladesh, 2016,1,1,1,1,1,1,1,1,1
Barbados, 2016,0.3,0.3,0.3,0,0,0.3,0.3,0,0.3
Belarus, 2016,1,1,1,1,1,1,1,1,1
Belgium, 2016,0.5,0.3,0.5,0.3,0.3,0.3,0.3,0.3,0.5
Belize, 2016,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Benin, 2016,0.3,0,0,0,0,0,0,0,0
Bhutan, 2016,1,1,0.3,0,0,1,1,0.3,1
Bolivia (Plurinational State of), 2016,,,,,,,,,
Bosnia and Herzegovina, 2016,0.3,0.3,0.3,0.3,0,0.3,0.3,1,0.3
Botswana, 2016,1,1,1,0.5,1,1,1,0.5,1
Brazil, 2016,1,0.5,1,0.3,0,0.5,0,0.3,0.3
Brunei Darussalam, 2016,,,,,,,,,
Bulgaria, 2016,1,0.5,1,0.5,0.3,0.3,0,1,0.3
Burkina Faso, 2016,1,1,1,0,0,0,0,1,1
Burundi, 2016,1,1,1,0,0,0,0.3,0,1
Cabo Verde, 2016,1,1,1,0,0,0,0.3,0,1
Cambodia, 2016,1,1,1,0,0,0,1,0,0.3
Cameroon, 2016,1,0,0,0,0,0,0,0,0
Canada, 2016,,,,,,,,,
Central African Republic, 2016,1,0.5,0.5,0.3,0.3,1,1,0.3,0.5
Chad, 2016,1,1,1,0,0,1,0.5,0.5,1
Chile, 2016,1,0.3,0.3,0.3,1,1,0.3,0.3,0.3
China, 2016,1,1,0,0,0,0,0,0,0
Colombia, 2016,1,1,0.5,0.5,0.5,1,0.3,0.5,1
Comoros, 2016,1,1,1,1,1,1,1,1,1
Congo, 2016,1,1,1,0,0,1,1,1,1
Cook Islands, 2016,,,,,,,,,
Costa Rica, 2016,1,1,1,0.5,0.5,1,1,1,1
Côte d'Ivoire, 2016,1,1,1,0.3,0,1,1,0,1
Croatia, 2016,1,0.5,1,0.5,0.5,1,0.5,0.3,1
Cuba, 2016,,,,,,,,,
Cyprus, 2016,1,1,1,0.5,0.5,1,1,0.5,0.5
Czechia, 2016,1,1,1,0.3,0.5,0.5,0.3,0.5,1
Democratic People's Republic of Korea, 2016,,,,,,,,,
Democratic Republic of the Congo, 2016,1,0,0.5,0,0,0,1,0,0
Denmark, 2016,0.3,0.3,0,0,0,0.5,0,0,0.3
Djibouti, 2016,1,1,1,1,1,1,1,1,1
Dominica, 2016,1,0,0,0,0,0,0,0,0
