,iso2,Alcohol Consompution Group,Value
486,AE,Alcohol_com2,1.7
206,AE,Mean_Alcom1_region,2.2805555555555554
346,AE,Mean_Alcom1_religion,1.4349999999999998
626,AE,Mean_Alcom2_region,2.2750000000000004
766,AE,Mean_Alcom2_religion,1.5550000000000002
66,AE,Alcohol_com1,2.1
381,AL,Mean_Alcom1_religion,1.4349999999999998
661,AL,Mean_Alcom2_region,9.68888888888889
521,AL,Alcohol_com2,5.7
241,AL,Mean_Alcom1_region,9.022222222222222
101,AL,Alcohol_com1,5.0
801,AL,Mean_Alcom2_religion,1.5550000000000002
785,AM,Mean_Alcom2_religion,4.1
645,AM,Mean_Alcom2_region,9.68888888888889
85,AM,Alcohol_com1,3.8
365,AM,Mean_Alcom1_religion,3.8
225,AM,Mean_Alcom1_region,9.022222222222222
505,AM,Alcohol_com2,4.1
197,AO,Mean_Alcom1_region,2.955813953488373
757,AO,Mean_Alcom2_religion,3.114285714285714
337,AO,Mean_Alcom1_religion,2.8857142857142852
477,AO,Alcohol_com2,7.5
57,AO,Alcohol_com1,5.0
617,AO,Mean_Alcom2_region,3.0302325581395344
566,AR,Mean_Alcom2_region,5.317391304347827
706,AR,Mean_Alcom2_religion,7.512195121951218
426,AR,Alcohol_com2,8.2
286,AR,Mean_Alcom1_religion,7.187804878048782
6,AR,Alcohol_com1,8.4
146,AR,Mean_Alcom1_region,5.278260869565217
510,AT,Alcohol_com2,11.8
650,AT,Mean_Alcom2_region,9.015
230,AT,Mean_Alcom1_region,8.454999999999998
370,AT,Mean_Alcom1_religion,7.187804878048782
90,AT,Alcohol_com1,11.4
790,AT,Mean_Alcom2_religion,7.512195121951218
112,AU,Alcohol_com1,9.7
812,AU,Mean_Alcom2_religion,7.512195121951218
532,AU,Alcohol_com2,10.5
672,AU,Mean_Alcom2_region,9.015
252,AU,Mean_Alcom1_region,8.454999999999998
392,AU,Mean_Alcom1_religion,7.187804878048782
118,AZ,Alcohol_com1,0.5
398,AZ,Mean_Alcom1_religion,1.4349999999999998
678,AZ,Mean_Alcom2_region,9.68888888888889
538,AZ,Alcohol_com2,1.9
258,AZ,Mean_Alcom1_region,9.022222222222222
818,AZ,Mean_Alcom2_religion,1.5550000000000002
638,BD,Mean_Alcom2_region,2.2750000000000004
218,BD,Mean_Alcom1_region,2.2805555555555554
358,BD,Mean_Alcom1_religion,1.4349999999999998
78,BD,Alcohol_com1,0.0
778,BD,Mean_Alcom2_religion,1.5550000000000002
498,BD,Alcohol_com2,0.0
665,BE,Mean_Alcom2_region,9.015
105,BE,Alcohol_com1,10.4
805,BE,Mean_Alcom2_religion,7.512195121951218
385,BE,Mean_Alcom1_religion,7.187804878048782
525,BE,Alcohol_com2,10.2
