Country,Median age (years)
Afghanistan,17.3
Albania,36.2
Algeria,27.5
Angola,16.4
Antigua and Barbuda,30.7
Argentina,30.8
Armenia,33.9
Australia,37.4
Austria,43.2
Azerbaijan,30.3
Bahamas,32.5
Bahrain,31.2
Bangladesh,25.6
Barbados,38.5
Belarus,39.6
Belgium,41.3
Belize,23.5
Benin,18.2
Bhutan,26.3
Bolivia (Plurinational State of),24.1
Bosnia and Herzegovina,41
Botswana,24.4
Brazil,31.3
Brunei Darussalam,30
Bulgaria,43.5
Burkina Faso,17
Burundi,17.6
Cabo Verde,23.8
Cambodia,23.9
Cameroon,18.3
Canada,40.5
Central African Republic,17.8
Chad,16.1
Chile,33.7
China,37
Colombia,30.1
Comoros,19.7
Congo,18.9
Congo (Democratic Republic of the),16.8
Costa Rica,31.4
Croatia,42.6
Cuba,41.1
Cyprus,34.9
Czechia,41.4
C�te d'Ivoire,18.3
Denmark,41.6
Djibouti,23.7
Dominican Republic,26.1
Ecuador,26.6
Egypt,24.7
El Salvador,25.8
Equatorial Guinea,22.2
Eritrea,18.9
Estonia,41.6
Eswatini (Kingdom of),20.4
Ethiopia,18.6
Fiji,27.6
Finland,42.5
France,41.2
Gabon,22.6
Gambia,17
Georgia,38
Germany,45.9
Ghana,20.4
Greece,43.3
Grenada,27.2
Guatemala,21.3
Guinea,18.4
Guinea-Bissau,18.9
Guyana,24.6
Haiti,23
Honduras,23
"Hong Kong, China (SAR)",43.2
Hungary,41.7
Iceland,36
India,26.7
Indonesia,28
Iran (Islamic Republic of),29.5
Iraq,19.4
Ireland,36.9
Israel,30.2
Italy,45.9
Jamaica,29.4
Japan,46.3
Jordan,22.1
Kazakhstan,29.3
Kenya,19
Kiribati,22.4
Korea (Democratic People's Rep. of),34
Korea (Republic of),40.8
Kuwait,33.4
Kyrgyzstan,25.3
Lao People's Democratic Republic,22.7
Latvia,42.5
Lebanon,28.5
Lesotho,21.3
Liberia,18.6
Libya,27.2
Lithuania,42.7
Luxembourg,39.3
Madagascar,18.7
Malawi,17.4
Malaysia,27.7
Maldives,27.9
Mali,16
Malta,40.9
Mauritania,19.7
Mauritius,35.6
Mexico,27.5
Micronesia (Federated States of),21.5
Moldova (Republic of),35.6
Mongolia,27.1
Montenegro,37.7
Morocco,27.9
Mozambique,17.2
Myanmar,27.7
Namibia,21
Nepal,23.2
Netherlands,42.1
New Zealand,37.3
Nicaragua,25.2
Niger,14.9
Nigeria,17.9
Norway,39.2
Oman,29
Pakistan,22.5
"Palestine, State of",19.3
Panama,28.4
Papua New Guinea,21.7
Paraguay,24.9
Peru,27.5
Philippines,24.1
Poland,39.7
Portugal,43.9
Qatar,31.3
Romania,41.3
Russian Federation,38.7
Rwanda,19.4
Saint Lucia,32.6
Saint Vincent and the Grenadines,29.8
Samoa,21.2
Sao Tome and Principe,18.1
Saudi Arabia,29.8
Senegal,18.3
Serbia,40
Seychelles,34.6
Sierra Leone,18.3
Singapore,40
Slovakia,39.2
Slovenia,43
Solomon Islands,19.9
Somalia,16.5
South Africa,26.1
South Sudan,18.6
Spain,43.2
Sri Lanka,32.3
Sudan,18.9
Suriname,28.4
Sweden,40.9
Switzerland,42.2
Syrian Arab Republic,20.2
Tajikistan,22.4
Tanzania (United Republic of),17.3
Thailand,37.8
The former Yugoslav Republic of Macedonia,37.4
Timor-Leste,17.4
Togo,18.9
Tonga,21.3
Trinidad and Tobago,33.9
Tunisia,31.1
Turkey,29.9
Turkmenistan,25.6
Uganda,15.8
Ukraine,40.3
United Arab Emirates,33.4
United Kingdom,40.2
United States,37.6
Uruguay,34.9
Uzbekistan,26.3
Vanuatu,22.2
Venezuela (Bolivarian Republic of),27.4
Viet Nam,30.4
Yemen,19.2
Zambia,17.1
Zimbabwe,19
Andorra,..
Dominica,..
Liechtenstein,..
Marshall Islands,..
Monaco,..
Nauru,..
Palau,..
Saint Kitts and Nevis,..
San Marino,..
Tuvalu,..
