,
Country,"Unemployment, total (% of labour force)"
Afghanistan,8.8
Albania,15.2
Algeria,10.2
Angola,7.7
Argentina,8.4
Armenia,18
Australia,5.7
Austria,6
Azerbaijan,5
Bahamas,12.7
Bahrain,1.3
Bangladesh,4.4
Barbados,9.7
Belarus,0.5
Belgium,7.8
Belize,7.9
Benin,2.5
Bhutan,2.4
Bolivia (Plurinational State of),3.1
Bosnia and Herzegovina,25.1
Botswana,17.9
Brazil,11.6
Brunei Darussalam,6.9
Bulgaria,7.6
Burkina Faso,6.4
Burundi,1.6
Cabo Verde,10.3
Cambodia,0.2
Cameroon,4.3
Canada,7
Central African Republic,6.2
Chad,5.8
Chile,6.7
China,4.7
Colombia,8.4
Comoros,4.4
Congo,10.4
Congo (Democratic Republic of the),3.7
Costa Rica,9
Croatia,13.1
Cuba,2.4
Cyprus,13
Czechia,4
C�te d'Ivoire,2.6
Denmark,6.2
Djibouti,5.8
Dominican Republic,5.5
Ecuador,4.6
Egypt,12.4
El Salvador,4.4
Equatorial Guinea,6.2
Eritrea,6.5
Estonia,6.8
Eswatini (Kingdom of),26.4
Ethiopia,5.1
Fiji,6.2
Finland,8.8
France,10.1
Gabon,19.8
Gambia,9.4
Georgia,11.8
Germany,4.1
Ghana,2.3
Greece,23.5
Guatemala,2.8
Guinea,4.5
Guinea-Bissau,6.2
Guyana,11.9
Haiti,14
Honduras,4.7
"Hong Kong, China (SAR)",3.4
Hungary,5.1
Iceland,3
India,3.5
Indonesia,4.1
Iran (Islamic Republic of),12.4
Iraq,8
Ireland,7.9
Israel,4.8
Italy,11.7
Jamaica,13.2
Japan,3.1
Jordan,15.3
Kazakhstan,5
Kenya,11.5
Korea (Democratic People's Rep. of),4.7
Korea (Republic of),3.7
Kuwait,2.1
Kyrgyzstan,7.2
Lao People's Democratic Republic,0.7
Latvia,9.6
Lebanon,6.2
Lesotho,27.8
Liberia,2.3
Libya,18.4
Lithuania,7.9
Luxembourg,6.3
Madagascar,1.8
Malawi,6
Malaysia,3.4
Maldives,5
Mali,7.8
Malta,4.7
Mauritania,10.1
Mauritius,7.3
Mexico,3.9
Moldova (Republic of),4.2
Mongolia,7.2
Montenegro,17.7
Morocco,9.4
Mozambique,25.2
Myanmar,0.8
Namibia,23.4
Nepal,3.1
Netherlands,6
New Zealand,5.1
Nicaragua,4.5
Niger,0.3
Nigeria,7.1
Norway,4.7
Oman,15.8
Pakistan,3.8
"Palestine, State of",27
Panama,5.5
Papua New Guinea,2.6
Paraguay,5.3
Peru,3.5
Philippines,2.7
Poland,6.2
Portugal,11.1
Qatar,0.2
Romania,5.9
Russian Federation,5.5
Rwanda,1.2
Saint Lucia,21.3
Saint Vincent and the Grenadines,18.2
Samoa,8.5
Sao Tome and Principe,13.4
Saudi Arabia,5.9
Senegal,4.9
Serbia,15.3
Sierra Leone,4.6
Singapore,1.8
Slovakia,9.7
Slovenia,8
Solomon Islands,2
Somalia,6
South Africa,26.6
South Sudan,11.5
Spain,19.6
Sri Lanka,4.4
Sudan,12.8
Suriname,8.2
Sweden,7
Switzerland,4.9
Syrian Arab Republic,15
Tajikistan,10.3
Tanzania (United Republic of),2.2
Thailand,0.9
The former Yugoslav Republic of Macedonia,23.7
Timor-Leste,3.4
Togo,1.8
Tonga,1.1
Trinidad and Tobago,4.4
Tunisia,15.5
Turkey,10.8
Turkmenistan,3.5
Uganda,2
Ukraine,9.4
United Arab Emirates,1.6
United Kingdom,4.8
United States,4.9
Uruguay,7.8
Uzbekistan,7.5
Vanuatu,5.3
Venezuela (Bolivarian Republic of),7.9
Viet Nam,2.1
Yemen,13.5
Zambia,7.8
Zimbabwe,5.2
Andorra,..
Antigua and Barbuda,..
Dominica,..
Grenada,..
Kiribati,..
Liechtenstein,..
Marshall Islands,..
Micronesia (Federated States of),..
Monaco,..
Nauru,..
Palau,..
Saint Kitts and Nevis,..
San Marino,..
Seychelles,..
Tuvalu,..
