"","","Government support for","Government support for","Government support for","Government support for","Government support for","Government support for","Government support for","Government support for"
"Country","Year"," Earmarked funds"," Technical tools"," Training programmes"," At-risk groups targeted"," Community programmes"," Provision of information"," Data dissemination"," Research studies"
"Afghanistan"," 2016","No","No","No","No","No","No","No","No"
"Albania"," 2016","No","No","No","No","No","Yes","Yes","No"
"Algeria"," 2016","No","No","No","No","No","No","No","No"
"Andorra"," 2016","No","No","No","No","No","No","No","No"
"Angola"," 2016","No","No","Yes","No","Yes","No","Yes","No"
"Antigua and Barbuda"," 2016","No","No","Yes","No","No","Yes","No","No"
"Argentina"," 2016","Yes","No","Yes","Yes","No","Yes","Yes","No"
"Armenia"," 2016","No","No","No","No","No","No","No","No"
"Australia"," 2016","Yes","No","No","Yes","No","No","No","No"
"Austria"," 2016","No","No","No","No","No","No","No","No"
"Azerbaijan"," 2016","No","No","Yes","Yes","No","Yes","No","No"
"Bahamas"," 2016","No","Yes","Yes","Yes","Yes","No","No","No"
"Bahrain"," 2016","No data","No data","No data","No data","No data","No data","No data","No data"
"Bangladesh"," 2016","No","No","Yes","No","No","Yes","Yes","Yes"
"Barbados"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Belarus"," 2016","Yes","No","Yes","No","Yes","Yes","Yes","Yes"
"Belgium"," 2016","No","No","Yes","No","Yes","No","Yes","Yes"
"Belize"," 2016","No","No","No","Yes","Yes","Yes","Yes","Yes"
"Benin"," 2016","No","No","Yes","Yes","Yes","No","No","No"
"Bhutan"," 2016","Yes","No","Yes","No","Yes","Yes","Yes","Yes"
"Bolivia (Plurinational State of)"," 2016","No data","No data","No data","No data","No data","No data","No data","No data"
"Bosnia and Herzegovina"," 2016","No","No","Yes","No","No","Yes","Yes","No"
"Botswana"," 2016","Yes","No","Yes","No","Yes","Yes","No","No"
"Brazil"," 2016","No","No","No","Yes","No","No","No","Yes"
"Brunei Darussalam"," 2016","No data","No data","No data","No data","No data","No data","No data","No data"
"Bulgaria"," 2016","Yes","No","Yes","No","Yes","No","No","No"
"Burkina Faso"," 2016","Yes","No","No","No","No","Yes","No","Yes"
"Burundi"," 2016","No","Yes","Yes","No","Yes","Yes","No","No"
"Cabo Verde"," 2016","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Cambodia"," 2016","No","No","Yes","No","Yes","No","Yes","Yes"
"Cameroon"," 2016","No","No","No","No","No","No","No","No"
"Canada"," 2016","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"Central African Republic"," 2016","No","No","No","No","No","No","No","No"
"Chad"," 2016","No","Yes","Yes","No","Yes","Yes","No","No"
"Chile"," 2016","Yes","Yes","Yes","No","No","Yes","No","No"
"China"," 2016","No","No","No","No","No","No","No","No"
"Colombia"," 2016","Yes","Yes","No","No","Yes","Yes","Yes","No"
"Comoros"," 2016","No","No","No","No","No","No","No","No"
"Congo"," 2016","No","No","No","No","No","No","No","No"
"Cook Islands"," 2016","No data","No data","No data","No data","No data","No data","No data","No data"
"Costa Rica"," 2016","Yes","No","Yes","Yes","No","Yes","Yes","No"
