,Code,Country,Region,Religion
0,DZA,Algeria,African Group,Islam
1,AGO,Angola,African Group,indigenous beliefs   
2,BEN,Benin,African Group,indigenous beliefs   
3,BWA,Botswana,African Group,Christian   
4,BFA,Burkina Faso,African Group,Islam   
5,BDI,Burundi,African Group,Roman Catholic   
6,CMR,Cameroon,African Group,indigenous beliefs   
7,CAF,Central African Republic,African Group,indigenous beliefs   
8,TCD,Chad,African Group,Islam   
9,COM,Comoros,African Group,Islam
10,DJI,Djibouti,African Group,Islam   
11,EGY,Egypt,African Group,Islam Sunni   
12,GNQ,Equatorial Guinea,African Group,Roman Catholic
13,ERI,Eritrea,African Group,Islam
14,ETH,Ethiopia,African Group,Islam   
15,GAB,Gabon,African Group,Christian   
16,GMB,Gambia,African Group,Islam   
17,GHA,Ghana,African Group,Christian   
18,GIN,Guinea,African Group,Islam   
19,GNB,Guinea-Bissau,African Group,indigenous beliefs   
20,KEN,Kenya,African Group,Protestant   
21,LSO,Lesotho,African Group,Christian   
22,LBR,Liberia,African Group,traditional   
23,LBY,Libya,African Group,Islam 
24,MDG,Madagascar,African Group,indigenous beliefs   
25,MWI,Malawi,African Group,Christian   
26,MLI,Mali,African Group,Islam   
27,MRT,Mauritania,African Group,Islam    
28,MUS,Mauritius,African Group,Hindu   
29,MAR,Morocco,African Group,Islam   
30,MOZ,Mozambique,African Group,Mozambique   
31,NAM,Namibia,African Group,Christian   
32,NER,Niger,African Group,Islam   
33,NGA,Nigeria,African Group,Islam   
34,RWA,Rwanda,African Group,Roman Catholic   . 
35,SEN,Senegal,African Group,Islam   
36,SYC,Seychelles,African Group,Roman Catholic   
37,SLE,Sierra Leone,African Group,Islam   
38,SOM,Somalia,African Group,Islam 
39,ZAF,South Africa,African Group,Christian   
40,SDN,Sudan,African Group,Islam 
41,TGO,Togo,African Group,Indigenous beliefs   
42,TUN,Tunisia,African Group,Islam 
43,UGA,Uganda,African Group,Roman Catholic   
44,TZA,Tanzania,African Group,Christian   
45,ZMB,Zambia,African Group,Christian   
46,ZWE,Zimbabwe,African Group,Christian
47,AFG,Afghanistan,Asia-Pacific Group,Islam
48,BHR,Bahrain,Asia-Pacific Group,Islam 
49,BGD,Bangladesh,Asia-Pacific Group,Islam   
50,BTN,Bhutan,Asia-Pacific Group,Buddhist   
51,BRN,Brunei,Asia-Pacific Group,Islam 
52,KHM,Cambodia,Asia-Pacific Group,Buddhist   
