Country,Year,Education Index
Afghanistan,2016,0.41
Albania,2016,0.742
Algeria,2016,0.663
Andorra,2016,0.714
Angola,2016,0.487
Antigua and Barbuda,2016,0.676
Argentina,2016,0.814
Armenia,2016,0.749
Australia,2016,0.929
Austria,2016,0.852
Azerbaijan,2016,0.709
Bahamas,2016,0.726
Bahrain,2016,0.758
Bangladesh,2016,0.49
Barbados,2016,0.777
Belarus,2016,0.838
Belgium,2016,0.893
Belize,2016,0.705
Benin,2016,0.471
Bhutan,2016,0.446
Bolivia (Plurinational State of),2016,0.683
Bosnia and Herzegovina,2016,0.718
Botswana,2016,0.659
Brazil,2016,0.686
Brunei Darussalam,2016,0.704
Bulgaria,2016,0.805
Burkina Faso,2016,0.285
Burundi,2016,0.424
Cabo Verde,2016,0.555
Cambodia,2016,0.483
Cameroon,2016,0.547
Canada,2016,0.894
Central African Republic,2016,0.341
Chad,2016,0.298
Chile,2016,0.8
China,2016,0.644
Colombia,2016,0.676
Comoros,2016,0.473
Congo,2016,0.526
Congo (Democratic Republic of the),2016,0.486
Costa Rica,2016,0.715
Croatia,2016,0.791
Cuba,2016,0.774
Cyprus,2016,0.808
Czechia,2016,0.893
Côte d'Ivoire,2016,0.421
Denmark,2016,0.92
Djibouti,2016,0.309
Dominica,2016,0.616
Dominican Republic,2016,0.643
Ecuador,2016,0.695
Egypt,2016,0.604
El Salvador,2016,0.58
Equatorial Guinea,2016,0.443
Eritrea,2016,0.279
Estonia,2016,0.868
Eswatini (Kingdom of),2016,0.528
Ethiopia,2016,0.325
Fiji,2016,0.785
Finland,2016,0.905
France,2016,0.84
Gabon,2016,0.621
Gambia,2016,0.368
Georgia,2016,0.845
Germany,2016,0.94
Ghana,2016,0.558
Greece,2016,0.838
Grenada,2016,0.758
Guatemala,2016,0.514
Guinea,2016,0.339
Guinea-Bissau,2016,0.392
Guyana,2016,0.596
Haiti,2016,0.428
Honduras,2016,0.502
"Hong Kong, China (SAR)",2016,0.855
Hungary,2016,0.815
Iceland,2016,0.912
India,2016,0.556
Indonesia,2016,0.622
Iran (Islamic Republic of),2016,0.741
Iraq,2016,0.502
Ireland,2016,0.918
Israel,2016,0.874
Italy,2016,0.791
Jamaica,2016,0.69
Japan,2016,0.846
Jordan,2016,0.711
Kazakhstan,2016,0.809
Kenya,2016,0.543
Kiribati,2016,0.62
Korea (Republic of),2016,0.862
Kuwait,2016,0.618
Kyrgyzstan,2016,0.735
Lao People's Democratic Republic,2016,0.485
Latvia,2016,0.866
Lebanon,2016,0.634
Lesotho,2016,0.502
Liberia,2016,0.43
Libya,2016,0.616
Liechtenstein,2016,0.827
Lithuania,2016,0.879
Luxembourg,2016,0.792
Madagascar,2016,0.498
Malawi,2016,0.45
Malaysia,2016,0.719
Maldives,2016,0.56
Mali,2016,0.287
Malta,2016,0.818
Marshall Islands,2016,..
Mauritania,2016,0.385
Mauritius,2016,0.729
Mexico,2016,0.678
Micronesia (Federated States of),2016,0.592
Moldova (Republic of),2016,0.71
Mongolia,2016,0.766
Montenegro,2016,0.79
Morocco,2016,0.525
Mozambique,2016,0.385
Myanmar,2016,0.44
Namibia,2016,0.569
Nepal,2016,0.502
Netherlands,2016,0.905
New Zealand,2016,0.917
Nicaragua,2016,0.558
Niger,2016,0.212
Nigeria,2016,0.483
Norway,2016,0.915
Oman,2016,0.706
Pakistan,2016,0.411
Palau,2016,0.837
"Palestine, State of",2016,0.66
Panama,2016,0.687
Papua New Guinea,2016,0.429
Paraguay,2016,0.631
Peru,2016,0.688
Philippines,2016,0.661
Poland,2016,0.862
Portugal,2016,0.759
Qatar,2016,0.698
Romania,2016,0.762
Russian Federation,2016,0.832
Rwanda,2016,0.45
Saint Kitts and Nevis,2016,0.674
Saint Lucia,2016,0.676
Saint Vincent and the Grenadines,2016,0.655
Samoa,2016,0.692
Sao Tome and Principe,2016,0.546
Saudi Arabia,2016,0.787
Senegal,2016,0.361
Serbia,2016,0.778
Seychelles,2016,0.724
Sierra Leone,2016,0.382
Singapore,2016,0.83
Slovakia,2016,0.831
Slovenia,2016,0.887
Solomon Islands,2016,0.465
South Africa,2016,0.708
South Sudan,2016,0.297
Spain,2016,0.824
Sri Lanka,2016,0.749
Sudan,2016,0.326
Suriname,2016,0.636
Sweden,2016,0.904
Switzerland,2016,0.897
Syrian Arab Republic,2016,0.412
Tajikistan,2016,0.66
Tanzania (United Republic of),2016,0.441
Thailand,2016,0.65
The former Yugoslav Republic of Macedonia,2016,0.691
Timor-Leste,2016,0.505
Togo,2016,0.506
Tonga,2016,0.769
Trinidad and Tobago,2016,0.722
Tunisia,2016,0.656
Turkey,2016,0.689
Turkmenistan,2016,0.629
Uganda,2016,0.504
Ukraine,2016,0.794
United Arab Emirates,2016,0.738
United Kingdom,2016,0.914
United States,2016,0.903
Uruguay,2016,0.733
Uzbekistan,2016,0.708
Vanuatu,2016,0.529
Venezuela (Bolivarian Republic of),2016,0.733
Viet Nam,2016,0.621
Yemen,2016,0.349
Zambia,2016,0.58
Zimbabwe,2016,0.558
Korea (Democratic People's Rep. of),2016,..
Monaco,2016,..
Nauru,2016,..
San Marino,2016,..
Somalia,2016,..
Tuvalu,2016,..
