INDICATOR,HFA_426,,,
,,,,
HFA_426,"Pure alcohol consumption, litres per capita, age 15+",,,
,,,,
UNIT_TYPE,Unit,,,
LITRES_PCAPITA,litres per capita,,,
,,,,
EXTERNID,ID in the originating data source,,,
,,,,
DATA_SOURCE,Data source,,,
HFA,European Health for All database,,,
,,,,
DATA_TYPE_REPRESENTATION,Data type representation,,,
RATIO,Ratio,,,
,,,,
DATA_SET,Data set,,,
HFA,European Health for All database (WHO),,,
,,,,
DATA_MASK,Mask for controlling the output format of values,,,
,,,,
SEX,Sex,,,
FEMALE,Female,,,
MALE,Male,,,
ALL,All,,,
,,,,
COUNTRY,COUNTRY_GRP,SEX,YEAR,VALUE
DNK,,ALL,1995,12.16
BGR,,ALL,2012,10.99
DNK,,ALL,1998,11.69
,NORDIC,ALL,1974,8.44
BIH,,ALL,2012,4.61
EST,,ALL,2008,16.99
MNE,,ALL,2010,6.56
DNK,,ALL,1997,12.2
ALB,,ALL,1999,2.19
,NORDIC,ALL,1979,8.35
ITA,,ALL,2009,7.25
BGR,,ALL,2008,10.98
BGR,,ALL,2009,10.93
,NORDIC,ALL,1977,8.56
ISR,,ALL,1982,2.65
,NORDIC,ALL,1976,8.76
DNK,,ALL,1990,11.85
ITA,,ALL,2007,8.37
ISR,,ALL,2000,2.53
DNK,,ALL,1992,11.94
,EU_AFTER_MAY2004,ALL,2004,10.6
PRT,,ALL,2012,11.96
,NORDIC,ALL,1987,8.15
,NORDIC,ALL,1988,8.31
BGR,,ALL,2005,10.48
BGR,,ALL,2002,10.2
PRT,,ALL,2014,9.88
DNK,,ALL,1982,12.47
IRL,,ALL,2006,13.44
ISR,,ALL,2013,2.69
DNK,,ALL,1987,11.74
DEU,,ALL,2013,10.94
,EU_MEMBERS,ALL,1970,13.83
,NORDIC,ALL,1970,7.25
ALB,,ALL,1985,1.6
,NORDIC,ALL,1985,8.01
,EU_AFTER_MAY2004,ALL,1996,10.09
DEU,,ALL,2011,11.2
TKM,,ALL,1992,0.42
ALB,,ALL,1990,2.03
POL,,ALL,2008,11.4
NLD,,ALL,2006,9.79
BGR,,ALL,2001,10.72
DNK,,ALL,1984,12.4
ITA,,ALL,1994,10.12
