Country,Year,Median age (years)
Afghanistan,2016,17.3
Albania,2016,36.2
Algeria,2016,27.5
Angola,2016,16.4
Antigua and Barbuda,2016,30.7
Argentina,2016,30.8
Armenia,2016,33.9
Australia,2016,37.4
Austria,2016,43.2
Azerbaijan,2016,30.3
Bahamas,2016,32.5
Bahrain,2016,31.2
Bangladesh,2016,25.6
Barbados,2016,38.5
Belarus,2016,39.6
Belgium,2016,41.3
Belize,2016,23.5
Benin,2016,18.2
Bhutan,2016,26.3
Bolivia (Plurinational State of),2016,24.1
Bosnia and Herzegovina,2016,41
Botswana,2016,24.4
Brazil,2016,31.3
Brunei Darussalam,2016,30
Bulgaria,2016,43.5
Burkina Faso,2016,17
Burundi,2016,17.6
Cabo Verde,2016,23.8
Cambodia,2016,23.9
Cameroon,2016,18.3
Canada,2016,40.5
Central African Republic,2016,17.8
Chad,2016,16.1
Chile,2016,33.7
China,2016,37
Colombia,2016,30.1
Comoros,2016,19.7
Congo,2016,18.9
Congo (Democratic Republic of the),2016,16.8
Costa Rica,2016,31.4
Croatia,2016,42.6
Cuba,2016,41.1
Cyprus,2016,34.9
Czechia,2016,41.4
Côte d'Ivoire,2016,18.3
Denmark,2016,41.6
Djibouti,2016,23.7
Dominican Republic,2016,26.1
Ecuador,2016,26.6
Egypt,2016,24.7
El Salvador,2016,25.8
Equatorial Guinea,2016,22.2
Eritrea,2016,18.9
Estonia,2016,41.6
Eswatini (Kingdom of),2016,20.4
Ethiopia,2016,18.6
Fiji,2016,27.6
Finland,2016,42.5
France,2016,41.2
Gabon,2016,22.6
Gambia,2016,17
Georgia,2016,38
Germany,2016,45.9
Ghana,2016,20.4
Greece,2016,43.3
Grenada,2016,27.2
Guatemala,2016,21.3
Guinea,2016,18.4
Guinea-Bissau,2016,18.9
Guyana,2016,24.6
Haiti,2016,23
Honduras,2016,23
"Hong Kong, China (SAR)",2016,43.2
Hungary,2016,41.7
Iceland,2016,36
India,2016,26.7
Indonesia,2016,28
Iran (Islamic Republic of),2016,29.5
Iraq,2016,19.4
Ireland,2016,36.9
Israel,2016,30.2
Italy,2016,45.9
Jamaica,2016,29.4
Japan,2016,46.3
Jordan,2016,22.1
Kazakhstan,2016,29.3
Kenya,2016,19
Kiribati,2016,22.4
Korea (Democratic People's Rep. of),2016,34
Korea (Republic of),2016,40.8
Kuwait,2016,33.4
Kyrgyzstan,2016,25.3
Lao People's Democratic Republic,2016,22.7
Latvia,2016,42.5
Lebanon,2016,28.5
Lesotho,2016,21.3
Liberia,2016,18.6
Libya,2016,27.2
Lithuania,2016,42.7
Luxembourg,2016,39.3
Madagascar,2016,18.7
Malawi,2016,17.4
Malaysia,2016,27.7
Maldives,2016,27.9
Mali,2016,16
Malta,2016,40.9
Mauritania,2016,19.7
Mauritius,2016,35.6
Mexico,2016,27.5
Micronesia (Federated States of),2016,21.5
Moldova (Republic of),2016,35.6
Mongolia,2016,27.1
Montenegro,2016,37.7
Morocco,2016,27.9
Mozambique,2016,17.2
Myanmar,2016,27.7
Namibia,2016,21
Nepal,2016,23.2
Netherlands,2016,42.1
New Zealand,2016,37.3
Nicaragua,2016,25.2
Niger,2016,14.9
Nigeria,2016,17.9
Norway,2016,39.2
Oman,2016,29
Pakistan,2016,22.5
"Palestine, State of",2016,19.3
Panama,2016,28.4
Papua New Guinea,2016,21.7
Paraguay,2016,24.9
Peru,2016,27.5
Philippines,2016,24.1
Poland,2016,39.7
Portugal,2016,43.9
Qatar,2016,31.3
Romania,2016,41.3
Russian Federation,2016,38.7
Rwanda,2016,19.4
Saint Lucia,2016,32.6
Saint Vincent and the Grenadines,2016,29.8
Samoa,2016,21.2
Sao Tome and Principe,2016,18.1
Saudi Arabia,2016,29.8
Senegal,2016,18.3
Serbia,2016,40
Seychelles,2016,34.6
Sierra Leone,2016,18.3
Singapore,2016,40
Slovakia,2016,39.2
Slovenia,2016,43
Solomon Islands,2016,19.9
Somalia,2016,16.5
South Africa,2016,26.1
South Sudan,2016,18.6
Spain,2016,43.2
Sri Lanka,2016,32.3
Sudan,2016,18.9
Suriname,2016,28.4
Sweden,2016,40.9
Switzerland,2016,42.2
Syrian Arab Republic,2016,20.2
Tajikistan,2016,22.4
Tanzania (United Republic of),2016,17.3
Thailand,2016,37.8
The former Yugoslav Republic of Macedonia,2016,37.4
Timor-Leste,2016,17.4
Togo,2016,18.9
Tonga,2016,21.3
Trinidad and Tobago,2016,33.9
Tunisia,2016,31.1
Turkey,2016,29.9
Turkmenistan,2016,25.6
Uganda,2016,15.8
Ukraine,2016,40.3
United Arab Emirates,2016,33.4
United Kingdom,2016,40.2
United States,2016,37.6
Uruguay,2016,34.9
Uzbekistan,2016,26.3
Vanuatu,2016,22.2
Venezuela (Bolivarian Republic of),2016,27.4
Viet Nam,2016,30.4
Yemen,2016,19.2
Zambia,2016,17.1
Zimbabwe,2016,19
Andorra,2016,..
Dominica,2016,..
Liechtenstein,2016,..
Marshall Islands,2016,..
Monaco,2016,..
Nauru,2016,..
Palau,2016,..
Saint Kitts and Nevis,2016,..
San Marino,2016,..
Tuvalu,2016,..
