Country,Year,"Unemployment, total (% of labour force)"
Afghanistan,2016,8.8
Albania,2016,15.2
Algeria,2016,10.2
Angola,2016,7.7
Argentina,2016,8.4
Armenia,2016,18
Australia,2016,5.7
Austria,2016,6
Azerbaijan,2016,5
Bahamas,2016,12.7
Bahrain,2016,1.3
Bangladesh,2016,4.4
Barbados,2016,9.7
Belarus,2016,0.5
Belgium,2016,7.8
Belize,2016,7.9
Benin,2016,2.5
Bhutan,2016,2.4
Bolivia (Plurinational State of),2016,3.1
Bosnia and Herzegovina,2016,25.1
Botswana,2016,17.9
Brazil,2016,11.6
Brunei Darussalam,2016,6.9
Bulgaria,2016,7.6
Burkina Faso,2016,6.4
Burundi,2016,1.6
Cabo Verde,2016,10.3
Cambodia,2016,0.2
Cameroon,2016,4.3
Canada,2016,7
Central African Republic,2016,6.2
Chad,2016,5.8
Chile,2016,6.7
China,2016,4.7
Colombia,2016,8.4
Comoros,2016,4.4
Congo,2016,10.4
Congo (Democratic Republic of the),2016,3.7
Costa Rica,2016,9
Croatia,2016,13.1
Cuba,2016,2.4
Cyprus,2016,13
Czechia,2016,4
Côte d'Ivoire,2016,2.6
Denmark,2016,6.2
Djibouti,2016,5.8
Dominican Republic,2016,5.5
Ecuador,2016,4.6
Egypt,2016,12.4
El Salvador,2016,4.4
Equatorial Guinea,2016,6.2
Eritrea,2016,6.5
Estonia,2016,6.8
Eswatini (Kingdom of),2016,26.4
Ethiopia,2016,5.1
Fiji,2016,6.2
Finland,2016,8.8
France,2016,10.1
Gabon,2016,19.8
Gambia,2016,9.4
Georgia,2016,11.8
Germany,2016,4.1
Ghana,2016,2.3
Greece,2016,23.5
Guatemala,2016,2.8
Guinea,2016,4.5
Guinea-Bissau,2016,6.2
Guyana,2016,11.9
Haiti,2016,14
Honduras,2016,4.7
"Hong Kong, China (SAR)",2016,3.4
Hungary,2016,5.1
Iceland,2016,3
India,2016,3.5
Indonesia,2016,4.1
Iran (Islamic Republic of),2016,12.4
Iraq,2016,8
Ireland,2016,7.9
Israel,2016,4.8
Italy,2016,11.7
Jamaica,2016,13.2
Japan,2016,3.1
Jordan,2016,15.3
Kazakhstan,2016,5
Kenya,2016,11.5
Korea (Democratic People's Rep. of),2016,4.7
Korea (Republic of),2016,3.7
Kuwait,2016,2.1
Kyrgyzstan,2016,7.2
Lao People's Democratic Republic,2016,0.7
Latvia,2016,9.6
Lebanon,2016,6.2
Lesotho,2016,27.8
Liberia,2016,2.3
Libya,2016,18.4
Lithuania,2016,7.9
Luxembourg,2016,6.3
Madagascar,2016,1.8
Malawi,2016,6
Malaysia,2016,3.4
Maldives,2016,5
Mali,2016,7.8
Malta,2016,4.7
Mauritania,2016,10.1
Mauritius,2016,7.3
Mexico,2016,3.9
Moldova (Republic of),2016,4.2
Mongolia,2016,7.2
Montenegro,2016,17.7
Morocco,2016,9.4
Mozambique,2016,25.2
Myanmar,2016,0.8
Namibia,2016,23.4
Nepal,2016,3.1
Netherlands,2016,6
New Zealand,2016,5.1
Nicaragua,2016,4.5
Niger,2016,0.3
Nigeria,2016,7.1
Norway,2016,4.7
Oman,2016,15.8
Pakistan,2016,3.8
"Palestine, State of",2016,27
Panama,2016,5.5
Papua New Guinea,2016,2.6
Paraguay,2016,5.3
Peru,2016,3.5
Philippines,2016,2.7
Poland,2016,6.2
Portugal,2016,11.1
Qatar,2016,0.2
Romania,2016,5.9
Russian Federation,2016,5.5
Rwanda,2016,1.2
Saint Lucia,2016,21.3
Saint Vincent and the Grenadines,2016,18.2
Samoa,2016,8.5
Sao Tome and Principe,2016,13.4
Saudi Arabia,2016,5.9
Senegal,2016,4.9
Serbia,2016,15.3
Sierra Leone,2016,4.6
Singapore,2016,1.8
Slovakia,2016,9.7
Slovenia,2016,8
Solomon Islands,2016,2
Somalia,2016,6
South Africa,2016,26.6
South Sudan,2016,11.5
Spain,2016,19.6
Sri Lanka,2016,4.4
Sudan,2016,12.8
Suriname,2016,8.2
Sweden,2016,7
Switzerland,2016,4.9
Syrian Arab Republic,2016,15
Tajikistan,2016,10.3
Tanzania (United Republic of),2016,2.2
Thailand,2016,0.9
The former Yugoslav Republic of Macedonia,2016,23.7
Timor-Leste,2016,3.4
Togo,2016,1.8
Tonga,2016,1.1
Trinidad and Tobago,2016,4.4
Tunisia,2016,15.5
Turkey,2016,10.8
Turkmenistan,2016,3.5
Uganda,2016,2
Ukraine,2016,9.4
United Arab Emirates,2016,1.6
United Kingdom,2016,4.8
United States,2016,4.9
Uruguay,2016,7.8
Uzbekistan,2016,7.5
Vanuatu,2016,5.3
Venezuela (Bolivarian Republic of),2016,7.9
Viet Nam,2016,2.1
Yemen,2016,13.5
Zambia,2016,7.8
Zimbabwe,2016,5.2
Andorra,2016,..
Antigua and Barbuda,2016,..
Dominica,2016,..
Grenada,2016,..
Kiribati,2016,..
Liechtenstein,2016,..
Marshall Islands,2016,..
Micronesia (Federated States of),2016,..
Monaco,2016,..
Nauru,2016,..
Palau,2016,..
Saint Kitts and Nevis,2016,..
San Marino,2016,..
Seychelles,2016,..
Tuvalu,2016,..
