Country,Religion
Afghanistan,Islam
Albania,Islam
Algeria,Islam
Andorra,Roman Catholic 
Angola,indigenous beliefs   
Antigua and Barbuda,Anglican
Argentina,Roman Catholic   
Armenia,Armenian Apostolic   
Australia,Roman Catholic   
Austria,Roman Catholic   
Azerbaijan,Islam   
Bahamas,Baptist   
Bahrain,Islam 
Bangladesh,Islam   
Barbados,Protestant   
Belarus,Orthodox   
Belgium,Roman Catholic   
Belize,Roman Catholic   
Benin,indigenous beliefs   
Bhutan,Buddhist   
Bolivia,Roman Catholic   
Bosnia and Herzegovina,Islam   
Botswana,Christian   
Brazil,Roman Catholic   
Brunei,Islam 
Bulgaria,Orthodox   
Burkina Faso,Islam   
Burundi,Roman Catholic   
Cambodia,Buddhist   
Cameroon,indigenous beliefs   
Canada,Roman Catholic   
Cape Verde,Roman Catholic 
Central African Republic,indigenous beliefs   
Chad,Islam   
Chile,Roman Catholic   
China,Officially atheist
Colombia,Roman Catholic   
Comoros,Islam
"Congo, Democratic Republic of the ",Roman Catholic   
"Congo, Republic of",Christian   
Costa Rica,Roman Catholic   
Côte d'Ivoire,indigenous beliefs   
Croatia,Roman Catholic   
Cuba,Roman Catholic
Cyprus,Orthodox   
Czech Republic,Roman Catholic   
Denmark,Protestant   
Djibouti,Islam   
Dominica,Roman Catholic   
Dominican Republic,Roman Catholic   
East Timor,Roman Catholic   
Ecuador,Roman Catholic   
Egypt,Islam Sunni   
El Salvador,Roman Catholic   
Equatorial Guinea,Roman Catholic
Eritrea,Islam
Estonia,Protestant   
Ethiopia,Islam   
Fiji,Christian   
Finland,Protestant   
France,Roman Catholic   
Gabon,Christian   
Gambia,Islam   
Georgia,Orthodox   
Germany,Protestant   
Ghana,Christian   
Greece,Orthodox   
Grenada,Roman Catholic   
Guatemala,Roman Catholic
Guinea,Islam   
Guinea-Bissau,indigenous beliefs   
Guyana,Christian   
Haiti,Roman Catholic   
Honduras,Roman Catholic   
Hungary,Roman Catholic   
Iceland,Protestant
India,Hindu   
Indonesia,Islam   
Iran,Islam   
Iraq,Islam   
Ireland,Roman Catholic   
Israel,Judaism   
Italy,Roman Catholic   
Jamaica,Protestant   . 
Japan,Shintoist and Buddhist   
Jordan,Islam 
Kazakhstan,Islam   
Kenya,Protestant   
Kiribati,Roman Catholic   
"Korea, North",Buddhism
"Korea, South",no affiliation   
Kuwait,Islam   
Kyrgyzstan,Islam   
Laos,Buddhist   
Latvia,Protestant
Lebanon,Islam   
Lesotho,Christian   
Liberia,traditional   
Libya,Islam 
Liechtenstein,Roman Catholic
Lithuania,Roman Catholic   
Luxembourg,Roman Catholic   
Macedonia ,Orthodox   
Madagascar,indigenous beliefs   
Malawi,Christian   
Malaysia,Islam
Maldives,Islam 
Mali,Islam   
Malta,Roman Catholic   
Marshall Islands,Protestant   
Mauritania,Islam    
Mauritius,Hindu   
Mexico,Roman Catholic   
Micronesia,Roman Catholic   
Moldova,Orthodox   
Monaco,Roman Catholic   
Mongolia,Buddhist
Montenegro,Orthodox
Morocco,Islam   
Mozambique,Mozambique   
Myanmar,Buddhist   
Namibia,Christian   
Nauru,Protestant
Nepal,Hindu   
Netherlands,Roman Catholic   
New Zealand,Anglican   
Nicaragua,Roman Catholic   
Niger,Islam   
Nigeria,Islam   
Norway,Protestant   
Oman,Islam
Pakistan,Islam   
Palau,Roman Catholic   
Palestinian State (proposed),Islam   
Panama,Roman Catholic   
Papua New Guinea,Roman Catholic   
Paraguay,Roman Catholic   
Peru,Roman Catholic   
Philippines,Roman Catholic   
Poland,Roman Catholic   
Portugal,Roman Catholic   
Qatar,Islam   
Romania,Orthodox   
Russia,Orthodox   
Rwanda,Roman Catholic   . 
St. Kitts and Nevis,Anglican
St. Lucia,Roman Catholic   
St. Vincent and the Grenadines,Anglican   
Samoa,Congregationalist   . 
San Marino,Roman Catholic
São Tomé and Príncipe,Catholic   
Saudi Arabia,Islam    
Senegal,Islam   
Serbia,Orthodox
Seychelles,Roman Catholic   
Sierra Leone,Islam   
Singapore,Buddhist   
Slovakia,Roman Catholic   
Slovenia,Catholic   
Solomon Islands,Church of Melanesia   
Somalia,Islam 
South Africa,Christian   
Spain,Roman Catholic   
Sri Lanka,Buddhist   
Sudan,Islam 
Suriname,Hindu   . 
Swaziland,Zionist 
Sweden,Protestant   
Switzerland,Roman Catholic   
Syria,Islam 
Taiwan,Buddhist
Tajikistan,Islam: Sunni   
Tanzania,Christian   
Thailand,Buddhist   
Togo,Indigenous beliefs   
Tonga,Christian 
Trinidad and Tobago,Roman Catholic   
Tunisia,Islam 
Turkey,Islam 
Turkmenistan,Islam   
Tuvalu,Church of Tuvalu 
Uganda,Roman Catholic   
Ukraine,Orthodox 
United Arab Emirates,Islam   
United Kingdom,Anglican
United States,Protestant   
Uruguay,Roman Catholic   
Uzbekistan,Islam 
Vanuatu,Protestant
Vatican City (Holy See),Roman Catholic.
Venezuela,Roman Catholic   
Vietnam,Buddhist  
Western Sahara (proposed state),Islam
Yemen,Islam 
Zambia,Christian   
Zimbabwe,Christian
