,,Licence required for production,Licence required for production,Licence required for production
Country,Year, Beer, Wine, Spirits
Albania,2016,1,1,1
Algeria,2016,0,0,0
Andorra,2016,1,1,1
Angola,2016,1,1,1
Antigua and Barbuda,2016,0,1,1
Argentina,2016,0,0,0
Armenia,2016,1,1,1
Austria,2016,0,0,0
Azerbaijan,2016,1,1,1
Bahamas,2016,1,0,1
Bangladesh,2016,1,1,1
Belarus,2016,0,1,1
Belgium,2016,1,1,1
Belize,2016,1,1,1
Benin,2016,0,0,0
Bhutan,2016,1,1,1
Bosnia and Herzegovina,2016,0,0,0
Botswana,2016,1,1,1
Brazil,2016,1,1,1
Bulgaria,2016,1,1,1
Burkina Faso,2016,1,0,0
Cabo Verde,2016,1,1,1
Cambodia,2016,1,1,1
Cameroon,2016,1,1,1
Central African Republic,2016,1,1,1
Chad,2016,0,0,0
Chile,2016,1,1,1
China,2016,1,1,1
Colombia,2016,1,1,1
Comoros,2016,0,0,0
Congo,2016,1,1,1
Costa Rica,2016,1,1,1
Côte d'Ivoire,2016,1,1,1
Croatia,2016,1,1,1
Cyprus,2016,1,1,1
Czechia,2016,0,1,1
Democratic Republic of the Congo,2016,1,0,0
Denmark,2016,0,0,0
Djibouti,2016,0,0,0
Dominica,2016,0,0,0
Dominican Republic,2016,1,1,1
Ecuador,2016,1,1,1
Egypt,2016,1,1,1
El Salvador,2016,1,1,1
Equatorial Guinea,2016,0,0,0
Eritrea,2016,1,1,1
Estonia,2016,0,0,0
Eswatini,2016,0,0,0
Ethiopia,2016,1,1,1
Finland,2016,1,1,1
France,2016,0,0,0
Gabon,2016,0,0,0
Gambia,2016,1,1,1
Georgia,2016,0,0,0
Germany,2016,0,0,0
Ghana,2016,1,1,1
Greece,2016,1,1,1
Grenada,2016,0,0,0
Guatemala,2016,1,1,1
Guinea-Bissau,2016,1,1,1
Guyana,2016,1,1,1
Honduras,2016,1,1,1
Hungary,2016,0,0,0
Iceland,2016,1,1,1
Indonesia,2016,1,1,1
Iraq,2016,1,1,1
Israel,2016,1,1,1
Italy,2016,1,1,1
Jamaica,2016,0,0,1
Japan,2016,1,1,1
Jordan,2016,1,1,1
Kazakhstan,2016,1,1,1
Kenya,2016,1,1,1
Kiribati,2016,1,1,1
Lao People's Democratic Republic,2016,1,0,0
Latvia,2016,1,1,1
Lebanon,2016,1,1,1
Lesotho,2016,0,0,0
Lithuania,2016,1,1,1
Luxembourg,2016,1,1,1
Madagascar,2016,1,1,1
Malawi,2016,1,1,1
Malaysia,2016,1,1,1
Mali,2016,1,0,0
Malta,2016,1,1,1
Marshall Islands,2016,0,0,0
Mauritania,2016,1.5,1.5,1.5
Mauritius,2016,1,1,1
Mexico,2016,0,0,0
Mongolia,2016,1,1,1
Montenegro,2016,1,1,1
Morocco,2016,1,1,1
Mozambique,2016,1,1,1
Myanmar,2016,1,1,1
Namibia,2016,1,1,1
Netherlands,2016,0,0,1
New Zealand,2016,1,1,1
Nicaragua,2016,1,1,1
Nigeria,2016,1,1,1
Norway,2016,1,1,1
Oman,2016,1,1,1
Pakistan,2016,1,1,1
Panama,2016,1,1,1
Paraguay,2016,1,1,1
Peru,2016,1,1,1
Philippines,2016,1,1,1
Poland,2016,1,1,1
Portugal,2016,1,1,1
Republic of Korea,2016,1,1,1
Republic of Moldova,2016,1,1,1
Romania,2016,1,1,1
Russian Federation,2016,0,1,1
Rwanda,2016,0,0,0
Saint Kitts and Nevis,2016,0,0,0
Saint Lucia,2016,1,0,0
Saint Vincent and the Grenadines,2016,1,1,1
Samoa,2016,1,1,1
San Marino,2016,1,1,1
Sao Tome and Principe,2016,1,0,1
Senegal,2016,1,1,1
Serbia,2016,1,1,1
Seychelles,2016,1,1,1
Sierra Leone,2016,1,1,1
Singapore,2016,1,1,1
Slovakia,2016,0,0,0
Slovenia,2016,0,0,0
South Africa,2016,1,1,1
Spain,2016,1,1,1
Sri Lanka,2016,1,1,1
Suriname,2016,1,1,1
Sweden,2016,0,0,0
Switzerland,2016,0,0,1
Syrian Arab Republic,2016,1,1,1
Tajikistan,2016,1,1,1
Thailand,2016,1,1,1
Republic of North Macedonia,2016,1,1,1
Timor-Leste,2016,1,0,0
Togo,2016,1,0,0
Trinidad and Tobago,2016,1,1,1
Turkey,2016,1,1,1
Turkmenistan,2016,1,1,1
Uganda,2016,1,1,1
Ukraine,2016,1,1,1
United Kingdom of Great Britain and Northern Ireland,2016,1,1,1
United Republic of Tanzania,2016,1,1,1
Uruguay,2016,0,0,0
Uzbekistan,2016,1,1,1
Vanuatu,2016,1,1,1
Venezuela (Bolivarian Republic of),2016,1,1,1
Viet Nam,2016,1,1,1
Zambia,2016,1,1,1
Zimbabwe,2016,1,1,1
