Country,Year,Age limits off-premise sales,Age limits off-premise sales,Age limits off-premise sales,Age limits on-premise service,Age limits on-premise service,Age limits on-premise service
Country,Year, Beer, Wine, Spirits, Beer, Wine, Spirits
Afghanistan,2016,Total ban,Total ban,Total ban,Total ban,Total ban,Total ban
Albania,2016,18,18,18,18,18,18
Algeria,2016,18,18,18,18,18,18
Andorra,2016,18,18,18,18,18,18
Angola,2016,18,18,18,18,18,18
Antigua and Barbuda,2016,None,None,None,16,16,16
Argentina,2016,18,18,18,18,18,18
Armenia,2016,18,18,18,18,18,18
Australia,2016,18,18,18,18,18,18
Austria,2016,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational
Azerbaijan,2016,18,18,18,18,18,18
Bahamas,2016,18,18,18,18,18,18
Bahrain,2016,No data,No data,No data,No data,No data,No data
Bangladesh,2016,None,None,None,None,None,None
Barbados,2016,None,None,None,16,16,16
Belarus,2016,18,18,18,18,18,18
Belgium,2016,16,16,18,16,16,18
Belize,2016,18,18,18,18,18,18
Benin,2016,None,None,None,None,None,None
Bhutan,2016,18,18,18,18,18,18
Bolivia (Plurinational State of),2016,No data,No data,No data,No data,No data,No data
Bosnia and Herzegovina,2016,18,18,18,18,18,18
Botswana,2016,18,18,18,18,18,18
Brazil,2016,18,18,18,18,18,18
Brunei Darussalam,2016,No data,No data,No data,No data,No data,No data
Bulgaria,2016,18,18,18,18,18,18
Burkina Faso,2016,None,None,None,13,13,13
Burundi,2016,18,18,18,18,18,18
Cabo Verde,2016,18,18,18,18,18,18
Cambodia,2016,None,None,None,None,None,None
Cameroon,2016,18,18,18,21,21,21
Canada,2016,subnational,subnational,subnational,subnational,subnational,subnational
Central African Republic,2016,None,None,None,None,None,None
Chad,2016,16,16,16,16,16,16
Chile,2016,18,18,18,18,18,18
China,2016,None,None,None,None,None,None
Colombia,2016,18,18,18,18,18,18
Comoros,2016,No data,No data,No data,No data,No data,No data
Congo,2016,18,18,18,16,16,16
Cook Islands,2016,18,18,18,18,18,18
Costa Rica,2016,18,18,18,18,18,18
Côte d'Ivoire,2016,None,18,18,14,14,14
Croatia,2016,18,18,18,18,18,18
Cuba,2016,18,18,18,18,18,18
Cyprus,2016,17,17,17,17,17,17
Czechia,2016,18,18,18,18,18,18
Democratic People's Republic of Korea,2016,18,18,18,18,18,18
Democratic Republic of the Congo,2016,No data,No data,No data,No data,No data,No data
Denmark,2016,18,18,18,18,18,18
Djibouti,2016,None,None,None,None,None,None
Dominica,2016,16,16,16,16,16,16
Dominican Republic,2016,18,18,18,18,18,18
Ecuador,2016,18,18,18,18,18,18
Egypt,2016,21,21,21,21,21,21
El Salvador,2016,18,18,18,18,18,18
Equatorial Guinea,2016,18,18,18,18,18,18
Eritrea,2016,25,25,25,25,25,25
